Vf,P2016_Sf
0.250,0.023554
0.255,0.032629
0.260,0.043395
0.265,0.055508
0.270,0.068433
0.275,0.081516
0.280,0.094075
0.285,0.105510
0.290,0.115386
0.295,0.123475
0.300,0.129760
0.305,0.134391
0.310,0.137628
0.315,0.139773
0.320,0.141122
0.325,0.141927
0.330,0.142383
0.335,0.142627
0.340,0.142753
0.345,0.142815
0.350,0.142846
0.355,0.142863
0.360,0.142875
0.365,0.142892
0.370,0.142917
0.375,0.142956
0.380,0.143017
0.385,0.143109
0.390,0.143247
0.395,0.143453
0.400,0.143755
0.405,0.144191
0.410,0.144812
0.415,0.145683
0.420,0.146889
0.425,0.148531
0.430,0.150738
0.435,0.153658
0.440,0.157469
0.445,0.162367
0.450,0.168571
0.455,0.176314
0.460,0.185838
0.465,0.197377
0.470,0.211153
0.475,0.227355
0.480,0.246129
0.485,0.267558
0.490,0.291652
0.495,0.318340
0.500,0.347456
0.505,0.378748
0.510,0.411876
0.515,0.446427
0.520,0.481931
0.525,0.517887
0.530,0.553785
0.535,0.589133
0.540,0.623487
0.545,0.656471
0.550,0.687792
0.555,0.717253
0.560,0.744751
0.565,0.770271
0.570,0.793874
0.575,0.815671
0.580,0.835807
0.585,0.854432
0.590,0.871688
0.595,0.887689
0.600,0.902513
0.605,0.916204
0.610,0.928774
0.615,0.940215
0.620,0.950511
0.625,0.959646
0.630,0.967623
0.635,0.974465
0.640,0.980220
0.645,0.984964
0.650,0.988790
0.655,0.991808
0.660,0.994135
0.665,0.995889
0.670,0.997179
0.675,0.998106
0.680,0.998756
0.685,0.999201
0.690,0.999498
0.695,0.999692
0.700,0.999815
0.705,0.999892
0.710,0.999938
0.715,0.999965
0.720,0.999981
0.725,0.999990
0.730,0.999995
0.735,0.999997
0.740,0.999999
0.745,0.999999
0.750,1.000000
