METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2017,METRIC,G2018,METRIC,AG2018
Vf,0.400204,Vf,0.370886,Vf,0.356212,Vf,0.398035,Vf,0.508261,Vf,0.404493,Vf,0.411679
Sf,0.143762,Sf,0.142946,Sf,0.142867,Sf,0.144208,Sf,0.378057,Sf,0.143974,Sf,0.144852
EG,0.156646,EG,0.098826,EG,0.069557,EG,0.151862,EG,0.138465,EG,0.165012,EG,0.178506
PR,0.256442,PR,0.227940,PR,0.213345,PR,0.253827,PR,0.130204,PR,0.260519,PR,0.266827
GAMMA,0.347433,GAMMA,0.355672,GAMMA,0.356785,GAMMA,0.345592,GAMMA,0.170866,GAMMA,0.348993,GAMMA,0.341313
BS_50,0.143827,BS_50,0.115176,BS_50,0.152544,BS_50,0.111032,BS_50,0.167487,BS_50,0.161077,BS_50,0.158315
BV_50,0.020904,BV_50,0.016500,BV_50,0.022513,BV_50,0.016225,BV_50,0.026226,BV_50,0.023931,BV_50,0.023345
BS_V,-0.016635,BS_V,-0.049448,BS_V,-0.063340,BS_V,-0.019916,BS_V,0.164587,BS_V,-0.017894,BS_V,-0.005108
GS,0.052729,GS,0.050401,GS,0.061463,GS,0.045862,GS,0.041769,GS,0.056430,GS,0.054754
MM,0.029902,MM,0.019543,MM,0.030546,MM,0.020902,MM,0.020008,MM,0.023438,MM,0.023881
LO,0.032006,LO,-0.015787,LO,-0.040786,LO,0.026313,LO,0.031486,LO,0.031467,LO,0.043735
DECL,49.130112,DECL,43.657583,DECL,40.757105,DECL,48.446225,DECL,14.825599,DECL,49.084569,DECL,50.378539
R,3.569657,R,2.765419,R,2.483750,R,3.489351,R,-14.761346,R,3.727747,R,4.021110
r,0.088228,r,0.010710,r,0.002424,r,0.100032,r,5.922065,r,0.073639,r,0.156649
Sb,0.143762,Sb,0.142946,Sb,0.142867,Sb,0.144208,Sb,0.378057,Sb,0.143974,Sb,0.144852
Ra,0.571881,Ra,0.571473,Ra,0.571433,Ra,0.572104,Ra,0.689028,Ra,0.571987,Ra,0.572426
Rb,0.071881,Rb,0.071473,Rb,0.071433,Rb,0.072104,Rb,0.189028,Rb,0.071987,Rb,0.072426
Va,0.650827,Va,0.677589,Va,0.697629,Va,0.648558,Va,0.558832,Va,0.646152,Va,0.638416
Vb,0.317168,Vb,0.338198,Vb,0.343157,Vb,0.325128,Vb,0.409682,Vb,0.322381,Vb,0.317849
L_Vf,0.380000,L_Vf,0.350000,L_Vf,0.335000,L_Vf,0.375000,L_Vf,0.485000,L_Vf,0.380000,L_Vf,0.390000
L_Sf,0.143018,L_Sf,0.142739,L_Sf,0.142627,L_Sf,0.143026,L_Sf,0.262477,L_Sf,0.142974,L_Sf,0.143230
U_Vf,0.425000,U_Vf,0.395000,U_Vf,0.380000,U_Vf,0.420000,U_Vf,0.530000,U_Vf,0.425000,U_Vf,0.435000
U_Sf,0.148661,U_Sf,0.143674,U_Sf,0.143017,U_Sf,0.149406,U_Sf,0.526510,U_Sf,0.147964,U_Sf,0.152840
