Vf,G2018_Sf
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000001
0.280,0.000001
0.285,0.000003
0.290,0.000005
0.295,0.000009
0.300,0.000017
0.305,0.000030
0.310,0.000052
0.315,0.000090
0.320,0.000151
0.325,0.000248
0.330,0.000380
0.335,0.000550
0.340,0.000788
0.345,0.001115
0.350,0.001559
0.355,0.002155
0.360,0.002945
0.365,0.003980
0.370,0.005319
0.375,0.007031
0.380,0.009194
0.385,0.011897
0.390,0.015239
0.395,0.019326
0.400,0.024272
0.405,0.030200
0.410,0.037238
0.415,0.045517
0.420,0.055172
0.425,0.066341
0.430,0.079159
0.435,0.093761
0.440,0.110276
0.445,0.128826
0.450,0.149522
0.455,0.172457
0.460,0.197701
0.465,0.225295
0.470,0.255241
0.475,0.287494
0.480,0.321958
0.485,0.358471
0.490,0.396810
0.495,0.436683
0.500,0.477735
0.505,0.519550
0.510,0.561667
0.515,0.603595
0.520,0.644825
0.525,0.684859
0.530,0.723224
0.535,0.759497
0.540,0.793320
0.545,0.824414
0.550,0.852590
0.555,0.877748
0.560,0.899877
0.565,0.919049
0.570,0.935406
0.575,0.949146
0.580,0.960508
0.585,0.969755
0.590,0.977163
0.595,0.983002
0.600,0.987531
0.605,0.990986
0.610,0.993581
0.615,0.995497
0.620,0.996888
0.625,0.997883
0.630,0.998581
0.635,0.999064
0.640,0.999392
0.645,0.999611
0.650,0.999755
0.655,0.999849
0.660,0.999908
0.665,0.999945
0.670,0.999967
0.675,0.999981
0.680,0.999989
0.685,0.999994
0.690,0.999997
0.695,0.999998
0.700,0.999999
0.705,0.999999
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
