Vf,S2020_Sf
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000001
0.270,0.000001
0.275,0.000003
0.280,0.000006
0.285,0.000011
0.290,0.000020
0.295,0.000036
0.300,0.000063
0.305,0.000110
0.310,0.000188
0.315,0.000313
0.320,0.000512
0.325,0.000821
0.330,0.001288
0.335,0.001971
0.340,0.002698
0.345,0.003653
0.350,0.004895
0.355,0.006490
0.360,0.008515
0.365,0.011058
0.370,0.014213
0.375,0.018084
0.380,0.022781
0.385,0.028415
0.390,0.035098
0.395,0.042937
0.400,0.052032
0.405,0.062467
0.410,0.074310
0.415,0.087606
0.420,0.102377
0.425,0.118616
0.430,0.136288
0.435,0.155333
0.440,0.175666
0.445,0.197187
0.450,0.219780
0.455,0.243327
0.460,0.267716
0.465,0.292843
0.470,0.318628
0.475,0.345011
0.480,0.371960
0.485,0.399468
0.490,0.427544
0.495,0.456211
0.500,0.485490
0.505,0.515386
0.510,0.545879
0.515,0.576909
0.520,0.608364
0.525,0.640080
0.530,0.671836
0.535,0.703365
0.540,0.734357
0.545,0.764484
0.550,0.793411
0.555,0.820818
0.560,0.846423
0.565,0.869991
0.570,0.891353
0.575,0.910411
0.580,0.927137
0.585,0.941575
0.590,0.953829
0.595,0.964051
0.600,0.972431
0.605,0.979182
0.610,0.984524
0.615,0.988678
0.620,0.991849
0.625,0.994227
0.630,0.995978
0.635,0.997245
0.640,0.998144
0.645,0.998771
0.650,0.999199
0.655,0.999488
0.660,0.999678
0.665,0.999801
0.670,0.999879
0.675,0.999928
0.680,0.999958
0.685,0.999976
0.690,0.999986
0.695,0.999992
0.700,0.999996
0.705,0.999998
0.710,0.999999
0.715,0.999999
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
