METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.352101,0.357876,0.357162,0.334705,0.377019,0.327184,0.364374,0.353053,0.007634,0.021623,-0.000952,-0.002696,-0.124705
Sf,0.005055,0.011813,0.005727,0.001934,0.022089,0.000306,0.008540,0.008402,0.003233,0.384789,-0.003347,-0.398358,-1.035261
EG,0.199147,0.203939,0.208597,0.167476,0.231949,0.154062,0.220208,0.197705,0.012457,0.063008,0.001442,0.007294,0.115758
PR,0.347046,0.346063,0.351435,0.332771,0.354930,0.326878,0.355834,0.344652,0.004952,0.014368,0.002394,0.006946,0.483441
GAMMA,0.448343,0.395702,0.444483,0.475506,0.351996,0.495145,0.425232,0.431344,0.021446,0.049719,0.016999,0.039409,0.792642
BS_50,0.027516,0.024273,0.028859,0.014510,0.042372,0.022265,0.032403,0.027447,0.003888,0.141655,0.000069,0.002514,0.017747
BV_50,0.003699,0.003934,0.003604,0.002427,0.005600,0.002662,0.004199,0.003738,0.000469,0.125468,-0.000039,-0.010433,-0.083156
BS_V,-0.002249,-0.005060,-0.002570,-0.000868,-0.009256,-0.000140,-0.003649,-0.003590,0.001349,-0.375766,0.001341,-0.373538,0.994070
GS,0.007152,0.008145,0.007287,0.005547,0.010068,0.004402,0.007398,0.007141,0.000810,0.113429,0.000011,0.001540,0.013580
MM,0.011072,0.008836,0.014373,0.004047,0.019498,0.010422,0.013374,0.011758,0.002154,0.183194,-0.000686,-0.058343,-0.318477
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,3.346509,3.434937,3.460372,3.013195,3.886054,2.891478,3.623645,3.384947,0.152532,0.045062,-0.038438,-0.011356,-0.252000
r,0.315093,0.650732,0.348572,0.136483,1.023855,0.026323,0.488318,0.445714,0.148216,0.332536,-0.130621,-0.293060,-0.881288
Sb,0.005055,0.011813,0.005727,0.001934,0.022089,0.000306,0.008540,0.008402,0.003233,0.384789,-0.003347,-0.398358,-1.035261
Ra,0.502527,0.505907,0.502864,0.500967,0.511045,0.500153,0.504270,0.504201,0.001616,0.003205,-0.001674,-0.003320,-1.035891
Rb,0.002527,0.005907,0.002864,0.000967,0.011045,0.000153,0.004270,0.004201,0.001616,0.384670,-0.001674,-0.398477,-1.035891
Va,0.650545,0.645926,0.644810,0.668394,0.627192,0.675121,0.638787,0.650038,0.007436,0.011439,0.000507,0.000780,0.068182
Vb,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,nan
L_Vf,0.330000,0.335000,0.335000,0.310000,0.355000,0.305000,0.340000,0.330000,0.007746,0.023473,0.000000,0.000000,0.000000
L_Sf,0.000849,0.002221,0.001007,0.000188,0.005629,0.000030,0.001388,0.001744,0.000844,0.483945,-0.000895,-0.513188,-1.060427
U_Vf,0.375000,0.380000,0.380000,0.355000,0.400000,0.350000,0.385000,0.375000,0.007746,0.020656,0.000000,0.000000,0.000000
U_Sf,0.015832,0.030579,0.017456,0.006490,0.050988,0.001559,0.022152,0.021537,0.007284,0.338209,-0.005705,-0.264893,-0.783224
