Vf,P2016
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000001
0.275,0.000001
0.280,0.000002
0.285,0.000005
0.290,0.000009
0.295,0.000016
0.300,0.000029
0.305,0.000052
0.310,0.000089
0.315,0.000150
0.320,0.000249
0.325,0.000405
0.330,0.000645
0.335,0.001007
0.340,0.001542
0.345,0.002314
0.350,0.003405
0.355,0.004916
0.360,0.006659
0.365,0.008609
0.370,0.011011
0.375,0.013936
0.380,0.017456
0.385,0.021645
0.390,0.026577
0.395,0.032324
0.400,0.038956
0.405,0.046538
0.410,0.055136
0.415,0.064811
0.420,0.075626
0.425,0.087647
0.430,0.100946
0.435,0.115604
0.440,0.131710
0.445,0.149369
0.450,0.168691
0.455,0.189798
0.460,0.212807
0.465,0.237831
0.470,0.264960
0.475,0.294250
0.480,0.325711
0.485,0.359294
0.490,0.394874
0.495,0.432251
0.500,0.471141
0.505,0.511183
0.510,0.551946
0.515,0.592943
0.520,0.633656
0.525,0.673552
0.530,0.712114
0.535,0.748863
0.540,0.783379
0.545,0.815322
0.550,0.844443
0.555,0.870587
0.560,0.893701
0.565,0.913817
0.570,0.931051
0.575,0.945582
0.580,0.957641
0.585,0.967487
0.590,0.975398
0.595,0.981652
0.600,0.986514
0.605,0.990234
0.610,0.993032
0.615,0.995104
0.620,0.996611
0.625,0.997690
0.630,0.998450
0.635,0.998976
0.640,0.999334
0.645,0.999574
0.650,0.999731
0.655,0.999833
0.660,0.999898
0.665,0.999939
0.670,0.999964
0.675,0.999979
0.680,0.999988
0.685,0.999993
0.690,0.999996
0.695,0.999998
0.700,0.999999
0.705,0.999999
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
