Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.265,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000
0.270,0.000001,0.000002,0.000001,0.000001,0.000001,0.000000,0.000001
0.275,0.000002,0.000004,0.000001,0.000003,0.000002,0.000001,0.000001
0.280,0.000003,0.000007,0.000002,0.000006,0.000003,0.000001,0.000002
0.285,0.000007,0.000013,0.000005,0.000011,0.000006,0.000003,0.000004
0.290,0.000012,0.000024,0.000009,0.000020,0.000011,0.000005,0.000008
0.295,0.000022,0.000042,0.000016,0.000036,0.000020,0.000009,0.000014
0.300,0.000040,0.000075,0.000029,0.000063,0.000035,0.000017,0.000026
0.305,0.000070,0.000130,0.000052,0.000110,0.000062,0.000030,0.000045
0.310,0.000120,0.000219,0.000089,0.000188,0.000106,0.000052,0.000079
0.315,0.000202,0.000363,0.000150,0.000313,0.000179,0.000090,0.000133
0.320,0.000333,0.000590,0.000249,0.000512,0.000296,0.000151,0.000221
0.325,0.000537,0.000937,0.000405,0.000821,0.000478,0.000248,0.000361
0.330,0.000849,0.001457,0.000645,0.001288,0.000758,0.000380,0.000577
0.335,0.001315,0.002221,0.001007,0.001971,0.001178,0.000550,0.000904
0.340,0.001997,0.003317,0.001542,0.002698,0.001793,0.000788,0.001388
0.345,0.002972,0.004854,0.002314,0.003653,0.002678,0.001115,0.002091
0.350,0.004337,0.006964,0.003405,0.004895,0.003920,0.001559,0.003090
0.355,0.005913,0.009795,0.004916,0.006490,0.005629,0.002155,0.004479
0.360,0.007684,0.013048,0.006659,0.008515,0.007928,0.002945,0.006371
0.365,0.009879,0.016376,0.008609,0.011058,0.010956,0.003980,0.008813
0.370,0.012571,0.020355,0.011011,0.014213,0.014858,0.005319,0.011270
0.375,0.015832,0.025064,0.013936,0.018084,0.019781,0.007031,0.014261
0.380,0.019741,0.030579,0.017456,0.022781,0.024900,0.009194,0.017863
0.385,0.024376,0.036974,0.021645,0.028415,0.030205,0.011897,0.022152
0.390,0.029814,0.044318,0.026577,0.035098,0.036293,0.015239,0.027206
0.395,0.036131,0.052671,0.032324,0.042937,0.043209,0.019326,0.033098
0.400,0.043398,0.062087,0.038956,0.052032,0.050988,0.024272,0.039902
0.405,0.051684,0.072605,0.046538,0.062467,0.059657,0.030200,0.047687
0.410,0.061051,0.084258,0.055136,0.074310,0.069239,0.037238,0.056518
0.415,0.071558,0.097062,0.064811,0.087606,0.079750,0.045517,0.066458
0.420,0.083258,0.111025,0.075626,0.102377,0.091207,0.055172,0.077565
0.425,0.096204,0.126140,0.087647,0.118616,0.103630,0.066341,0.089901
0.430,0.110447,0.142392,0.100946,0.136288,0.117048,0.079159,0.103526
0.435,0.126037,0.159758,0.115604,0.155333,0.131502,0.093761,0.118505
0.440,0.143028,0.178207,0.131710,0.175666,0.147054,0.110276,0.134911
0.445,0.161478,0.197707,0.149369,0.197187,0.163781,0.128826,0.152821
0.450,0.181446,0.218223,0.168691,0.219780,0.181786,0.149522,0.172320
0.455,0.202992,0.239725,0.189798,0.243327,0.201190,0.172457,0.193495
0.460,0.226178,0.262188,0.212807,0.267716,0.222129,0.197701,0.216435
0.465,0.251056,0.285593,0.237831,0.292843,0.244746,0.225295,0.241223
0.470,0.277668,0.309932,0.264960,0.318628,0.269181,0.255241,0.267926
0.475,0.306036,0.335204,0.294250,0.345011,0.295556,0.287494,0.296585
0.480,0.336152,0.361415,0.325711,0.371960,0.323960,0.321958,0.327207
0.485,0.367971,0.388574,0.359294,0.399468,0.354432,0.358471,0.359750
