AZ2022_Vf,AZ2022_Sf
0.250,0.001674
0.255,0.002778
0.260,0.004440
0.265,0.006844
0.270,0.010182
0.275,0.014633
0.280,0.020341
0.285,0.027382
0.290,0.035752
0.295,0.045351
0.300,0.056000
0.305,0.067455
0.310,0.079441
0.315,0.091689
0.320,0.103961
0.325,0.116066
0.330,0.127863
0.335,0.139251
0.340,0.150151
0.345,0.160491
0.350,0.170195
0.355,0.179187
0.360,0.187391
0.365,0.194754
0.370,0.201251
0.375,0.206903
0.380,0.211775
0.385,0.215980
0.390,0.219665
0.395,0.223007
0.400,0.226192
0.405,0.229411
0.410,0.232846
0.415,0.236664
0.420,0.241012
0.425,0.246016
0.430,0.251503
0.435,0.257500
0.440,0.264391
0.445,0.272263
0.450,0.281195
0.455,0.291267
0.460,0.302549
0.465,0.315099
0.470,0.328966
0.475,0.344180
0.480,0.360752
0.485,0.378675
0.490,0.397918
0.495,0.418434
0.500,0.440153
0.505,0.462991
0.510,0.486849
0.515,0.511618
0.520,0.537181
0.525,0.563413
0.530,0.590183
0.535,0.617353
0.540,0.644774
0.545,0.672288
0.550,0.699720
0.555,0.726883
0.560,0.753575
0.565,0.779581
0.570,0.804682
0.575,0.828658
0.580,0.851302
0.585,0.872425
0.590,0.891870
0.595,0.909519
0.600,0.925302
0.605,0.939195
0.610,0.951226
0.615,0.961469
0.620,0.970038
0.625,0.977078
0.630,0.982755
0.635,0.987248
0.640,0.990735
0.645,0.993388
0.650,0.995367
0.655,0.996814
0.660,0.997850
0.665,0.998577
0.670,0.999077
0.675,0.999412
0.680,0.999633
0.685,0.999776
0.690,0.999866
0.695,0.999921
0.700,0.999955
0.705,0.999974
0.710,0.999986
0.715,0.999992
0.720,0.999996
0.725,0.999998
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
