Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.250000,0.000291,0.000123,0.000682,0.000098,0.000239,0.001674,0.000360,0.000529,0.000245,0.463138,-0.000238,-0.449905,-0.971429
0.255000,0.000523,0.000228,0.001183,0.000183,0.000432,0.002778,0.000644,0.000908,0.000402,0.442731,-0.000385,-0.424009,-0.957711
0.260000,0.000907,0.000408,0.001980,0.000330,0.000754,0.004440,0.001111,0.001504,0.000636,0.422872,-0.000597,-0.396941,-0.938679
0.265000,0.001521,0.000707,0.003200,0.000578,0.001273,0.006844,0.001853,0.002409,0.000969,0.402242,-0.000888,-0.368618,-0.916409
0.270000,0.002469,0.001187,0.004997,0.000979,0.002079,0.010182,0.002991,0.003736,0.001421,0.380353,-0.001267,-0.339133,-0.891626
0.275000,0.003877,0.001931,0.007546,0.001609,0.003286,0.014633,0.004672,0.005613,0.002008,0.357741,-0.001736,-0.309282,-0.864542
0.280000,0.005897,0.003045,0.011026,0.002562,0.005029,0.020341,0.007069,0.008179,0.002739,0.334882,-0.002282,-0.279007,-0.833151
0.285000,0.008689,0.004656,0.015607,0.003958,0.007457,0.027382,0.010366,0.011571,0.003608,0.311814,-0.002882,-0.249071,-0.798780
0.290000,0.012418,0.006907,0.021418,0.005936,0.010720,0.035752,0.014745,0.015913,0.004593,0.288632,-0.003495,-0.219632,-0.760941
0.295000,0.017224,0.009949,0.028535,0.008644,0.014953,0.045351,0.020366,0.021300,0.005660,0.265728,-0.004076,-0.191362,-0.720141
0.300000,0.023211,0.013923,0.036958,0.012234,0.020256,0.056000,0.027340,0.027785,0.006760,0.243297,-0.004574,-0.164621,-0.676627
0.305000,0.030428,0.018949,0.046604,0.016840,0.026676,0.067455,0.035715,0.035373,0.007841,0.221666,-0.004945,-0.139796,-0.630659
0.310000,0.038850,0.025102,0.057316,0.022567,0.034196,0.079441,0.045462,0.044014,0.008847,0.201004,-0.005164,-0.117326,-0.583701
0.315000,0.048384,0.032405,0.068875,0.029471,0.042726,0.091689,0.056464,0.053605,0.009733,0.181569,-0.005221,-0.097398,-0.536422
0.320000,0.058871,0.040817,0.081025,0.037550,0.052117,0.103961,0.068531,0.064000,0.010465,0.163516,-0.005129,-0.080141,-0.490110
0.325000,0.070103,0.050233,0.093504,0.046736,0.062168,0.116066,0.081408,0.075019,0.011025,0.146963,-0.004916,-0.065530,-0.445896
0.330000,0.081847,0.060497,0.106065,0.056904,0.072661,0.127863,0.094803,0.086466,0.011411,0.131971,-0.004619,-0.053420,-0.404785
0.335000,0.093869,0.071412,0.118490,0.067877,0.083379,0.139251,0.108406,0.098136,0.011630,0.118509,-0.004267,-0.043480,-0.366896
0.340000,0.105951,0.082770,0.130602,0.079448,0.094136,0.150151,0.121918,0.109838,0.011698,0.106502,-0.003887,-0.035388,-0.332279
0.345000,0.117910,0.094365,0.142254,0.091397,0.104791,0.160491,0.135063,0.121394,0.011628,0.095787,-0.003484,-0.028700,-0.299622
0.350000,0.129596,0.106015,0.153332,0.103512,0.115255,0.170195,0.147603,0.132652,0.011434,0.086195,-0.003056,-0.023038,-0.267273
0.355000,0.140893,0.117572,0.163738,0.115602,0.125482,0.179187,0.159346,0.143488,0.011120,0.077498,-0.002595,-0.018085,-0.233363
0.360000,0.151711,0.128923,0.173389,0.127504,0.135461,0.187391,0.170146,0.153802,0.010686,0.069479,-0.002091,-0.013595,-0.195677
0.365000,0.161978,0.139989,0.182217,0.139091,0.145193,0.194754,0.179907,0.163525,0.010133,0.061966,-0.001547,-0.009460,-0.152669
0.370000,0.171635,0.150716,0.190177,0.150264,0.154682,0.201251,0.188580,0.172612,0.009459,0.054799,-0.000977,-0.005660,-0.103288
0.375000,0.180636,0.161069,0.197248,0.160952,0.163917,0.206903,0.196166,0.181042,0.008672,0.047900,-0.000406,-0.002243,-0.046817
0.380000,0.188953,0.171026,0.203449,0.171109,0.172877,0.211775,0.202713,0.188825,0.007786,0.041234,0.000128,0.000678,0.016440
0.385000,0.196585,0.180577,0.208837,0.180712,0.181529,0.215980,0.208314,0.195991,0.006823,0.034813,0.000594,0.003031,0.087058
0.390000,0.203560,0.189726,0.213512,0.189760,0.189844,0.219665,0.213103,0.202602,0.005814,0.028697,0.000958,0.004728,0.164775
0.395000,0.209947,0.198497,0.217615,0.198283,0.197804,0.223007,0.217245,0.208742,0.004791,0.022952,0.001205,0.005773,0.251513
0.400000,0.215850,0.206940,0.221313,0.206337,0.205417,0.226192,0.220933,0.214522,0.003789,0.017663,0.001328,0.006191,0.350488
0.405000,0.221411,0.215135,0.224796,0.214012,0.212726,0.229411,0.224373,0.220076,0.002847,0.012936,0.001335,0.006066,0.468915
0.410000,0.226801,0.223190,0.228265,0.221428,0.219807,0.232846,0.227778,0.225552,0.002009,0.008907,0.001249,0.005538,0.621702
0.415000,0.232207,0.231240,0.231918,0.228729,0.226771,0.236664,0.231359,0.231113,0.001367,0.005915,0.001094,0.004734,0.800293
0.420000,0.237822,0.239437,0.235949,0.236079,0.233757,0.241012,0.235319,0.236926,0.001115,0.004706,0.000896,0.003782,0.803587
0.425000,0.243835,0.247943,0.240538,0.243648,0.240917,0.246016,0.239847,0.243151,0.001344,0.005527,0.000684,0.002813,0.508929
0.430000,0.250421,0.256917,0.245848,0.251606,0.248412,0.251503,0.245114,0.249900,0.001791,0.007167,0.000521,0.002085,0.290899
0.435000,0.257732,0.266502,0.252018,0.260109,0.256392,0.257500,0.251272,0.257299,0.002293,0.008912,0.000433,0.001683,0.188836
0.440000,0.265893,0.276821,0.259169,0.269292,0.264997,0.264391,0.258450,0.265520,0.002792,0.010515,0.000373,0.001405,0.133596
0.445000,0.275001,0.287963,0.267393,0.279267,0.274342,0.272263,0.266751,0.274663,0.003263,0.011880,0.000338,0.001231,0.103586
0.450000,0.285121,0.299987,0.276759,0.290116,0.284519,0.281195,0.276252,0.284805,0.003696,0.012977,0.000316,0.001110,0.085498
0.455000,0.296290,0.312918,0.287307,0.301889,0.295594,0.291267,0.287001,0.295996,0.004083,0.013794,0.000294,0.000993,0.072006
0.460000,0.308520,0.326745,0.299050,0.314612,0.307610,0.302549,0.299014,0.308263,0.004417,0.014329,0.000257,0.000834,0.058184
0.465000,0.321794,0.341432,0.311971,0.328284,0.320586,0.315099,0.312278,0.321608,0.004694,0.014595,0.000186,0.000578,0.039625
0.470000,0.336077,0.356917,0.326028,0.342883,0.334523,0.328966,0.326748,0.336011,0.004904,0.014595,0.000066,0.000196,0.013458
0.475000,0.351314,0.373118,0.341151,0.358367,0.349407,0.344180,0.342351,0.351429,0.005044,0.014353,-0.000115,-0.000327,-0.022799
0.480000,0.367433,0.389941,0.357246,0.374680,0.365210,0.360752,0.358987,0.367803,0.005109,0.013891,-0.000370,-0.001006,-0.072421
