METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.488733,0.501568,0.481100,0.511748,0.512015,0.427636,0.482630,0.486116,0.012941,0.026621,0.002617,0.005383,0.202225
Sf,0.397445,0.467087,0.360906,0.492486,0.484698,0.248956,0.368112,0.403707,0.038947,0.096473,-0.006262,-0.015511,-0.160783
EG,0.080021,0.036049,0.101294,0.031010,0.039332,0.106316,0.097148,0.068525,0.014872,0.217030,0.011496,0.167764,0.772996
PR,0.091288,0.034481,0.120194,0.019262,0.027317,0.178680,0.114518,0.082409,0.026487,0.321409,0.008879,0.107743,0.335221
GAMMA,0.062662,0.038835,0.074750,0.056736,0.067798,0.171637,0.070731,0.080081,0.019057,0.237972,-0.017419,-0.217517,-0.914047
BS_50,0.059262,0.038662,0.068737,0.053269,0.063314,0.059847,0.064318,0.058024,0.004409,0.075986,0.001238,0.021336,0.280789
BV_50,0.013759,0.010028,0.016076,0.013440,0.015362,0.012655,0.014479,0.013673,0.000888,0.064946,0.000086,0.006290,0.096847
BS_V,0.056802,0.038563,0.063185,0.051893,0.061199,-0.032463,0.059115,0.040249,0.014996,0.372581,0.016553,0.411265,1.103828
GS,0.035514,0.027033,0.040384,0.029825,0.033471,0.046689,0.039629,0.036172,0.003008,0.083158,-0.000658,-0.018191,-0.218750
MM,0.008018,0.001212,0.009486,0.006878,0.024821,0.013800,0.019036,0.012539,0.003485,0.277933,-0.004521,-0.360555,-1.297274
LO,0.051775,0.047303,0.056082,0.059408,0.066440,0.023006,0.055693,0.051322,0.006201,0.120825,0.000453,0.008827,0.073053
DECL,18.390779,11.978379,22.931519,12.743468,14.666483,31.050551,21.939808,19.218368,3.034555,0.157899,-0.827589,-0.043062,-0.272722
R,9.102214,-20.990485,7.359489,-0.639570,-1.273584,3.469190,7.592860,-0.747017,4.332560,-5.799814,9.849231,-13.184748,2.273305
r,3.540695,3.776430,3.404484,4.189877,4.369187,1.097332,3.520862,3.393029,0.483789,0.142583,0.147666,0.043520,0.305228
Sb,0.397445,0.467087,0.360906,0.492486,0.484698,0.248956,0.368112,0.403707,0.038947,0.096473,-0.006262,-0.015511,-0.160783
Ra,0.698723,0.733543,0.680453,0.746243,0.742349,0.624478,0.684056,0.701854,0.019473,0.027745,-0.003131,-0.004461,-0.160787
Rb,0.198723,0.233543,0.180453,0.246243,0.242349,0.124478,0.184056,0.201854,0.019473,0.096471,-0.003131,-0.015511,-0.160787
Va,0.569036,0.563209,0.579017,0.552816,0.550616,0.616932,0.572687,0.572546,0.009949,0.017377,-0.003510,-0.006131,-0.352799
Vb,0.379189,0.389487,0.364901,0.387776,0.382944,0.360061,0.371620,0.376132,0.005050,0.013426,0.003057,0.008127,0.605347
L_Vf,0.465000,0.480000,0.460000,0.490000,0.490000,0.405000,0.460000,0.464167,0.013065,0.028147,0.000833,0.001795,0.063758
L_Sf,0.321794,0.389941,0.299050,0.409513,0.399408,0.229411,0.299014,0.337723,0.029671,0.087856,-0.015929,-0.047166,-0.536854
U_Vf,0.510000,0.525000,0.505000,0.535000,0.535000,0.450000,0.505000,0.509167,0.013065,0.025660,0.000833,0.001636,0.063758
U_Sf,0.483149,0.562410,0.451937,0.599245,0.596991,0.281195,0.457198,0.491496,0.049912,0.101551,-0.008347,-0.016983,-0.167234
