Vf,S2018
0.250,0.000239
0.255,0.000432
0.260,0.000754
0.265,0.001273
0.270,0.002079
0.275,0.003286
0.280,0.005029
0.285,0.007457
0.290,0.010720
0.295,0.014953
0.300,0.020256
0.305,0.026676
0.310,0.034196
0.315,0.042726
0.320,0.052117
0.325,0.062168
0.330,0.072661
0.335,0.083379
0.340,0.094136
0.345,0.104791
0.350,0.115255
0.355,0.125482
0.360,0.135461
0.365,0.145193
0.370,0.154682
0.375,0.163917
0.380,0.172877
0.385,0.181529
0.390,0.189844
0.395,0.197804
0.400,0.205417
0.405,0.212726
0.410,0.219807
0.415,0.226771
0.420,0.233757
0.425,0.240917
0.430,0.248412
0.435,0.256392
0.440,0.264997
0.445,0.274342
0.450,0.284519
0.455,0.295594
0.460,0.307610
0.465,0.320586
0.470,0.334523
0.475,0.349407
0.480,0.365210
0.485,0.381893
0.490,0.399408
0.495,0.417696
0.500,0.436686
0.505,0.456301
0.510,0.476449
0.515,0.498295
0.520,0.521838
0.525,0.546232
0.530,0.571335
0.535,0.596991
0.540,0.623029
0.545,0.649274
0.550,0.675544
0.555,0.701658
0.560,0.727435
0.565,0.752698
0.570,0.777275
0.575,0.800999
0.580,0.823713
0.585,0.845268
0.590,0.865528
0.595,0.884376
0.600,0.901711
0.605,0.917462
0.610,0.931585
0.615,0.944067
0.620,0.954933
0.625,0.964239
0.630,0.972075
0.635,0.978555
0.640,0.983814
0.645,0.988000
0.650,0.991267
0.655,0.993764
0.660,0.995633
0.665,0.997002
0.670,0.997983
0.675,0.998671
0.680,0.999142
0.685,0.999458
0.690,0.999665
0.695,0.999797
0.700,0.999880
0.705,0.999931
0.710,0.999961
0.715,0.999978
0.720,0.999988
0.725,0.999994
0.730,0.999997
0.735,0.999998
0.740,0.999999
0.745,1.000000
0.750,1.000000
