Vf,composite
0.250,0.000291
0.255,0.000523
0.260,0.000907
0.265,0.001521
0.270,0.002469
0.275,0.003877
0.280,0.005897
0.285,0.008689
0.290,0.012418
0.295,0.017224
0.300,0.023211
0.305,0.030428
0.310,0.038850
0.315,0.048384
0.320,0.058871
0.325,0.070103
0.330,0.081847
0.335,0.093869
0.340,0.105951
0.345,0.117910
0.350,0.129596
0.355,0.140893
0.360,0.151711
0.365,0.161978
0.370,0.171635
0.375,0.180636
0.380,0.188953
0.385,0.196585
0.390,0.203560
0.395,0.209947
0.400,0.215850
0.405,0.221411
0.410,0.226801
0.415,0.232207
0.420,0.237822
0.425,0.243835
0.430,0.250421
0.435,0.257732
0.440,0.265893
0.445,0.275001
0.450,0.285121
0.455,0.296290
0.460,0.308520
0.465,0.321794
0.470,0.336077
0.475,0.351314
0.480,0.367433
0.485,0.384351
0.490,0.402055
0.495,0.420897
0.500,0.440738
0.505,0.461513
0.510,0.483149
0.515,0.505562
0.520,0.528667
0.525,0.552374
0.530,0.576592
0.535,0.601225
0.540,0.626174
0.545,0.651334
0.550,0.676591
0.555,0.701819
0.560,0.726879
0.565,0.751620
0.570,0.775874
0.575,0.799467
0.580,0.822216
0.585,0.843936
0.590,0.864454
0.595,0.883608
0.600,0.901262
0.605,0.917312
0.610,0.931690
0.615,0.944372
0.620,0.955377
0.625,0.964762
0.630,0.972625
0.635,0.979091
0.640,0.984307
0.645,0.988432
0.650,0.991630
0.655,0.994058
0.660,0.995863
0.665,0.997176
0.670,0.998111
0.675,0.998762
0.680,0.999205
0.685,0.999500
0.690,0.999693
0.695,0.999815
0.700,0.999891
0.705,0.999937
0.710,0.999965
0.715,0.999980
0.720,0.999989
0.725,0.999994
0.730,0.999997
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
