METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.544776,0.569383,0.526833,0.547716,0.530045,0.555169,0.533339,0.543748,0.006796,0.012498,0.001028,0.001891,0.151265
Sf,0.565722,0.616783,0.507025,0.574304,0.551690,0.591175,0.525739,0.561119,0.016775,0.029896,0.004603,0.008203,0.274396
EG,0.023830,0.021983,0.046641,0.021128,0.008400,0.019163,0.040939,0.026376,0.005901,0.223726,-0.002546,-0.096527,-0.431452
PR,-0.020946,-0.047400,0.019808,-0.026588,-0.021645,-0.036006,0.007600,-0.017372,0.010580,-0.609026,-0.003574,0.205733,-0.337807
GAMMA,0.052208,0.047038,0.069970,0.049241,0.054154,0.090493,0.083440,0.065723,0.007528,0.114541,-0.013515,-0.205636,-1.795298
BS_50,0.062391,0.053334,0.067478,0.051941,0.052243,0.072999,0.081587,0.063264,0.005153,0.081452,-0.000873,-0.013799,-0.169416
BV_50,0.020903,0.020091,0.024240,0.018443,0.014767,0.023458,0.025208,0.021035,0.001638,0.077870,-0.000132,-0.006275,-0.080586
BS_V,0.061338,0.061636,0.066278,0.056026,0.050537,0.064743,0.075311,0.062422,0.003508,0.056198,-0.001084,-0.017366,-0.309008
GS,0.025567,0.026493,0.028632,0.023574,0.020841,0.027742,0.027457,0.025790,0.001219,0.047266,-0.000223,-0.008647,-0.182937
MM,0.020663,0.021228,0.023534,0.018077,0.013771,0.024300,0.025016,0.020988,0.001773,0.084477,-0.000325,-0.015485,-0.183305
LO,0.058406,0.089979,0.045387,0.063404,0.038340,0.064993,0.047972,0.058346,0.007629,0.130754,0.000060,0.001028,0.007865
DECL,6.440654,9.156424,8.139060,6.776147,3.895506,5.961942,7.495459,6.904090,0.750632,0.108723,-0.463436,-0.067125,-0.617394
R,1.467788,1.683168,0.261819,1.557223,1.720429,1.652641,0.772037,1.274553,0.249451,0.195716,0.193235,0.151610,0.774641
r,2.633762,2.361117,2.869411,2.589174,3.522855,3.292919,3.274804,2.985047,0.185055,0.061994,-0.351285,-0.117682,-1.898273
Sb,0.565722,0.616783,0.507025,0.574304,0.551690,0.591175,0.525739,0.561119,0.016775,0.029896,0.004603,0.008203,0.274396
Ra,0.782861,0.808392,0.753513,0.787152,0.775845,0.795587,0.762869,0.780560,0.008388,0.010746,0.002301,0.002948,0.274320
Rb,0.282861,0.308392,0.253513,0.287152,0.275845,0.295587,0.262869,0.280560,0.008388,0.029897,0.002301,0.008201,0.274320
Va,0.571513,0.555054,0.586796,0.569209,0.573883,0.566491,0.575584,0.571169,0.004307,0.007541,0.000344,0.000602,0.079870
Vb,0.370081,0.354967,0.367817,0.367387,0.387778,0.368516,0.376443,0.370485,0.004457,0.012030,-0.000404,-0.001090,-0.090644
L_Vf,0.520000,0.545000,0.505000,0.525000,0.510000,0.535000,0.510000,0.521667,0.006540,0.012537,-0.001667,-0.003196,-0.254893
L_Sf,0.497392,0.561027,0.446543,0.517633,0.483235,0.534601,0.450693,0.498955,0.018970,0.038019,-0.001563,-0.003133,-0.082393
U_Vf,0.565000,0.590000,0.550000,0.570000,0.555000,0.580000,0.555000,0.566667,0.006540,0.011541,-0.001667,-0.002942,-0.254893
U_Sf,0.628877,0.689157,0.575941,0.642238,0.636712,0.675245,0.603418,0.637119,0.017384,0.027285,-0.008242,-0.012936,-0.474114
