Vf,P2016
0.250,0.000137
0.255,0.000253
0.260,0.000452
0.265,0.000783
0.270,0.001312
0.275,0.002131
0.280,0.003352
0.285,0.005111
0.290,0.007558
0.295,0.010845
0.300,0.015110
0.305,0.020457
0.310,0.026937
0.315,0.034533
0.320,0.043152
0.325,0.052631
0.330,0.062752
0.335,0.073267
0.340,0.083931
0.345,0.094533
0.350,0.104918
0.355,0.115005
0.360,0.124786
0.365,0.134313
0.370,0.143683
0.375,0.153004
0.380,0.162381
0.385,0.171890
0.390,0.181574
0.395,0.191437
0.400,0.201454
0.405,0.211580
0.410,0.221768
0.415,0.231976
0.420,0.242183
0.425,0.252392
0.430,0.262627
0.435,0.272937
0.440,0.283382
0.445,0.294028
0.450,0.304938
0.455,0.316167
0.460,0.327752
0.465,0.339714
0.470,0.352058
0.475,0.364768
0.480,0.377819
0.485,0.391170
0.490,0.404775
0.495,0.418578
0.500,0.432522
0.505,0.446543
0.510,0.460577
0.515,0.474555
0.520,0.488411
0.525,0.502076
0.530,0.516424
0.535,0.531296
0.540,0.546178
0.545,0.561055
0.550,0.575941
0.555,0.590879
0.560,0.605941
0.565,0.621222
0.570,0.636836
0.575,0.652902
0.580,0.669538
0.585,0.686849
0.590,0.704910
0.595,0.723755
0.600,0.743367
0.605,0.763667
0.610,0.784509
0.615,0.805680
0.620,0.826909
0.625,0.847878
0.630,0.868243
0.635,0.887660
0.640,0.905808
0.645,0.922415
0.650,0.937280
0.655,0.950282
0.660,0.961386
0.665,0.970638
0.670,0.978157
0.675,0.984113
0.680,0.988709
0.685,0.992163
0.690,0.994690
0.695,0.996489
0.700,0.997736
0.705,0.998577
0.710,0.999128
0.715,0.999479
0.720,0.999697
0.725,0.999828
0.730,0.999905
0.735,0.999949
0.740,0.999973
0.745,0.999986
0.750,0.999993
