Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.250,0.000042,0.000022,0.000137,0.000033,0.000039,0.000028,0.000055
0.255,0.000080,0.000044,0.000253,0.000064,0.000075,0.000054,0.000104
0.260,0.000149,0.000083,0.000452,0.000120,0.000140,0.000102,0.000191
0.265,0.000268,0.000152,0.000783,0.000217,0.000252,0.000186,0.000342
0.270,0.000468,0.000271,0.001312,0.000383,0.000442,0.000329,0.000593
0.275,0.000794,0.000469,0.002131,0.000654,0.000751,0.000565,0.000997
0.280,0.001308,0.000789,0.003352,0.001086,0.001238,0.000944,0.001626
0.285,0.002090,0.001289,0.005111,0.001749,0.001983,0.001531,0.002574
0.290,0.003244,0.002047,0.007558,0.002738,0.003083,0.002412,0.003956
0.295,0.004892,0.003159,0.010845,0.004165,0.004656,0.003695,0.005905
0.300,0.007169,0.004742,0.015110,0.006160,0.006836,0.005504,0.008566
0.305,0.010217,0.006926,0.020457,0.008860,0.009759,0.007977,0.012082
0.310,0.014170,0.009848,0.026937,0.012403,0.013554,0.011253,0.016583
0.315,0.019138,0.013642,0.034533,0.016910,0.018330,0.015462,0.022163
0.320,0.025189,0.018420,0.043152,0.022469,0.024152,0.020712,0.028872
0.325,0.032340,0.024264,0.052631,0.029123,0.031035,0.027066,0.036696
0.330,0.040548,0.031209,0.062752,0.036858,0.038929,0.034539,0.045560
0.335,0.049704,0.039234,0.073267,0.045601,0.047724,0.043087,0.055326
0.340,0.059650,0.048264,0.083931,0.055221,0.057254,0.052608,0.065810
0.345,0.070191,0.058171,0.094533,0.065547,0.067314,0.062951,0.076801
0.350,0.081120,0.068791,0.104918,0.076381,0.077689,0.073931,0.088087
0.355,0.092239,0.079939,0.115005,0.087527,0.088174,0.085353,0.099477
0.360,0.103385,0.091436,0.124786,0.098814,0.098600,0.097024,0.110818
0.365,0.114441,0.103120,0.134313,0.110106,0.108853,0.108781,0.122006
0.370,0.125347,0.114869,0.143683,0.121320,0.118882,0.120496,0.132986
0.375,0.136087,0.126605,0.153004,0.132424,0.128693,0.132084,0.143743
0.380,0.146689,0.138294,0.162381,0.143429,0.138342,0.143498,0.154288
0.385,0.157200,0.149939,0.171890,0.154376,0.147918,0.154720,0.164643
0.390,0.167675,0.161570,0.181574,0.165321,0.157519,0.165755,0.174826
0.395,0.178163,0.173229,0.191437,0.176321,0.167240,0.176612,0.184844
0.400,0.188696,0.184956,0.201454,0.187424,0.177154,0.187303,0.194691
0.405,0.199289,0.196787,0.211580,0.198659,0.187311,0.197838,0.204353
0.410,0.209946,0.208744,0.221768,0.210043,0.197735,0.208225,0.213813
0.415,0.220662,0.220836,0.231976,0.221578,0.208429,0.218476,0.223066
0.420,0.231436,0.233066,0.242183,0.233264,0.219385,0.228614,0.232128
0.425,0.242276,0.245431,0.252392,0.245100,0.230595,0.238677,0.241040
0.430,0.253205,0.257932,0.262627,0.257092,0.242061,0.248722,0.249873
0.435,0.264263,0.270569,0.272937,0.269258,0.253795,0.258827,0.258727
0.440,0.275504,0.283350,0.283382,0.281620,0.265831,0.269082,0.267721
0.445,0.286991,0.296285,0.294028,0.294207,0.278216,0.279589,0.276984
0.450,0.298787,0.309384,0.304938,0.307050,0.291008,0.290450,0.286648
0.455,0.310949,0.322654,0.316167,0.320170,0.304269,0.301755,0.296831
0.460,0.323522,0.336094,0.327752,0.333580,0.318054,0.313578,0.307634
0.465,0.336530,0.349696,0.339714,0.347280,0.332409,0.325968,0.319128
0.470,0.349978,0.363437,0.352058,0.361249,0.347357,0.338947,0.331352
0.475,0.363846,0.377288,0.364768,0.375455,0.362900,0.352506,0.344313
0.480,0.378096,0.391209,0.377819,0.389849,0.379011,0.366608,0.357986
0.485,0.392670,0.405155,0.391170,0.404373,0.395638,0.381192,0.372316
0.490,0.407500,0.419078,0.404775,0.418961,0.412706,0.396181,0.387229
0.495,0.422507,0.432930,0.418578,0.433546,0.430116,0.411483,0.402629
0.500,0.437609,0.446666,0.432522,0.448059,0.447757,0.427001,0.418413
0.505,0.452724,0.460247,0.446543,0.462439,0.465506,0.442641,0.434471
0.510,0.467774,0.473639,0.460577,0.476629,0.483235,0.458309,0.450693
0.515,0.482684,0.486819,0.474555,0.490582,0.500819,0.473925,0.466975
0.520,0.497392,0.499768,0.488411,0.504259,0.518136,0.489416,0.483220
0.525,0.511841,0.512479,0.502076,0.517633,0.535077,0.504721,0.499338
0.530,0.525986,0.524950,0.516424,0.530685,0.551544,0.519795,0.515255
0.535,0.539791,0.537189,0.531296,0.543407,0.569159,0.534601,0.531629
0.540,0.553234,0.549208,0.546178,0.555800,0.586530,0.549111,0.549461
0.545,0.566402,0.561027,0.561055,0.567874,0.603592,0.563309,0.567402
0.550,0.581678,0.572672,0.575941,0.580819,0.620318,0.577181,0.585402
0.555,0.597143,0.584174,0.590879,0.595367,0.636712,0.590723,0.603418
0.560,0.612854,0.595567,0.605941,0.610386,0.652811,0.607187,0.621421
0.565,0.628877,0.606888,0.621222,0.625978,0.668687,0.623931,0.639393
0.570,0.645287,0.618693,0.636836,0.642238,0.684446,0.640848,0.657336
0.575,0.662154,0.634711,0.652902,0.659245,0.700218,0.657947,0.675264
0.580,0.679543,0.651759,0.669538,0.677051,0.716150,0.675245,0.693209
0.585,0.697502,0.669902,0.686849,0.695673,0.732392,0.692772,0.711211
0.590,0.716057,0.689157,0.704910,0.715086,0.749075,0.710561,0.729314
0.595,0.735197,0.709477,0.723755,0.735214,0.766291,0.728643,0.747558
0.600,0.754874,0.730747,0.743367,0.755935,0.784075,0.747039,0.765964
0.605,0.774994,0.752787,0.763667,0.777076,0.802389,0.765749,0.784528
0.610,0.795412,0.775350,0.784509,0.798419,0.821114,0.784738,0.803209
0.615,0.815935,0.798137,0.805680,0.819710,0.840049,0.803931,0.821920
0.620,0.836325,0.820811,0.826909,0.840669,0.858924,0.823202,0.840529
0.625,0.856312,0.843013,0.847878,0.861004,0.877423,0.842377,0.858859
0.630,0.875608,0.864387,0.868243,0.880423,0.895206,0.861236,0.876696
0.635,0.893924,0.884597,0.887660,0.898656,0.911946,0.879527,0.893805
0.640,0.910993,0.903348,0.905808,0.915468,0.927354,0.896983,0.909946
0.645,0.926590,0.920407,0.922415,0.930674,0.941207,0.913343,0.924897
0.650,0.940546,0.935610,0.937280,0.944153,0.953363,0.928375,0.938471
0.655,0.952761,0.948872,0.950282,0.955849,0.963767,0.941895,0.950533
0.660,0.963211,0.960186,0.961386,0.965775,0.972447,0.953783,0.961012
0.665,0.971940,0.969620,0.970638,0.974008,0.979505,0.963992,0.969903
0.670,0.979056,0.977303,0.978157,0.980675,0.985094,0.972544,0.977263
0.675,0.984711,0.983408,0.984113,0.985945,0.989406,0.979528,0.983203
0.680,0.989093,0.988141,0.988709,0.990006,0.992645,0.985084,0.987875
0.685,0.992399,0.991718,0.992163,0.993058,0.995014,0.989388,0.991452
0.690,0.994829,0.994352,0.994690,0.995291,0.996701,0.992632,0.994119
0.695,0.996568,0.996240,0.996489,0.996882,0.997869,0.995010,0.996053
0.700,0.997778,0.997558,0.997736,0.997986,0.998658,0.996706,0.997417
0.705,0.998597,0.998454,0.998577,0.998732,0.999175,0.997881,0.998352
0.710,0.999137,0.999045,0.999128,0.999221,0.999506,0.998672,0.998976
0.715,0.999483,0.999426,0.999479,0.999534,0.999711,0.999190,0.999380
0.720,0.999698,0.999664,0.999697,0.999728,0.999836,0.999519,0.999635
0.725,0.999828,0.999808,0.999828,0.999846,0.999909,0.999722,0.999791
0.730,0.999905,0.999893,0.999905,0.999915,0.999951,0.999844,0.999883
0.735,0.999949,0.999942,0.999949,0.999954,0.999974,0.999915,0.999937
0.740,0.999973,0.999970,0.999973,0.999976,0.999987,0.999955,0.999966
0.745,0.999986,0.999984,0.999986,0.999988,0.999993,0.999977,0.999983
0.750,0.999993,0.999992,0.999993,0.999994,0.999997,0.999988,0.999991
