Vf,composite
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000001
0.300,0.000002
0.305,0.000003
0.310,0.000005
0.315,0.000010
0.320,0.000017
0.325,0.000030
0.330,0.000051
0.335,0.000085
0.340,0.000141
0.345,0.000228
0.350,0.000365
0.355,0.000573
0.360,0.000886
0.365,0.001348
0.370,0.002017
0.375,0.002972
0.380,0.004308
0.385,0.006149
0.390,0.008640
0.395,0.011954
0.400,0.016291
0.405,0.021868
0.410,0.028923
0.415,0.037698
0.420,0.048436
0.425,0.061361
0.430,0.076669
0.435,0.094513
0.440,0.114989
0.445,0.138126
0.450,0.163879
0.455,0.192123
0.460,0.222663
0.465,0.255234
0.470,0.289516
0.475,0.325150
0.480,0.361752
0.485,0.398938
0.490,0.436335
0.495,0.473595
0.500,0.510410
0.505,0.546516
0.510,0.581693
0.515,0.615769
0.520,0.648607
0.525,0.680106
0.530,0.710187
0.535,0.738791
0.540,0.765870
0.545,0.791383
0.550,0.815294
0.555,0.837574
0.560,0.858199
0.565,0.877153
0.570,0.894435
0.575,0.910057
0.580,0.924046
0.585,0.938178
0.590,0.950664
0.595,0.961217
0.600,0.969978
0.605,0.977123
0.610,0.982843
0.615,0.987341
0.620,0.990812
0.625,0.993441
0.630,0.995396
0.635,0.996823
0.640,0.997845
0.645,0.998563
0.650,0.999059
0.655,0.999394
0.660,0.999617
0.665,0.999762
0.670,0.999855
0.675,0.999913
0.680,0.999949
0.685,0.999970
0.690,0.999983
0.695,0.999991
0.700,0.999995
0.705,0.999997
0.710,0.999999
0.715,0.999999
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
