METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018
Vf,0.580828,0.601960,0.571412,0.602037,0.646034,0.516503,0.530392
Sf,0.926209,0.967101,0.868792,0.975901,0.997879,0.618251,0.692015
EG,-0.264553,-0.263181,-0.225968,-0.271827,-0.205811,-0.085245,-0.131231
PR,-0.345381,-0.365141,-0.297380,-0.373864,-0.351845,-0.101748,-0.161623
GAMMA,-0.197763,-0.306185,-0.078376,-0.353066,-0.476710,-0.011598,-0.023526
BS_50,-0.010410,-0.001580,-0.004490,-0.009610,0.001376,-0.009234,-0.018571
BV_50,-0.001414,-0.000227,-0.000725,-0.001195,0.000178,-0.001328,-0.002887
BS_V,0.013478,0.007424,0.017658,0.006245,0.000819,-0.005750,-0.003379
GS,-0.004161,-0.003519,-0.004451,-0.003475,0.003343,-0.001377,-0.003372
MM,-0.011790,0.002063,-0.000887,-0.011886,0.013463,-0.008387,-0.015399
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.023319,0.040423
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,2.971525,4.695699
R,5.273033,4.581213,5.164279,4.664007,3.409336,7.165441,6.317962
r,2.826320,1.578222,4.066759,1.203826,0.144956,6.462668,5.543873
Sb,0.926209,0.967101,0.868792,0.975901,0.997879,0.618251,0.692015
Ra,0.963104,0.983550,0.934396,0.987951,0.998939,0.809126,0.846008
Rb,0.463104,0.483550,0.434396,0.487951,0.498939,0.309126,0.346008
Va,0.500000,0.500000,0.500000,0.500000,0.500000,0.511562,0.509425
Vb,0.415085,0.395734,0.420294,0.396369,0.353839,0.465119,0.450152
L_Vf,0.560000,0.580000,0.550000,0.580000,0.625000,0.495000,0.510000
L_Sf,0.858199,0.921413,0.779087,0.939015,0.992468,0.474476,0.579887
U_Vf,0.605000,0.625000,0.595000,0.625000,0.670000,0.540000,0.555000
U_Sf,0.977123,0.991770,0.948861,0.994165,0.999740,0.766088,0.823609
