Vf,P2016
0.250,0.000941
0.255,0.001555
0.260,0.002478
0.265,0.003807
0.270,0.005645
0.275,0.008088
0.280,0.011204
0.285,0.015029
0.290,0.019546
0.295,0.024684
0.300,0.030324
0.305,0.036315
0.310,0.042493
0.315,0.048709
0.320,0.054858
0.325,0.060891
0.330,0.066833
0.335,0.072772
0.340,0.078856
0.345,0.085265
0.350,0.092194
0.355,0.099826
0.360,0.108314
0.365,0.117762
0.370,0.128223
0.375,0.139690
0.380,0.152103
0.385,0.165352
0.390,0.179289
0.395,0.193740
0.400,0.208512
0.405,0.223408
0.410,0.238234
0.415,0.252811
0.420,0.266979
0.425,0.280609
0.430,0.293599
0.435,0.305885
0.440,0.317439
0.445,0.328266
0.450,0.338408
0.455,0.347936
0.460,0.356946
0.465,0.365555
0.470,0.373891
0.475,0.382093
0.480,0.390297
0.485,0.398637
0.490,0.407239
0.495,0.416426
0.500,0.427046
0.505,0.438854
0.510,0.451952
0.515,0.466421
0.520,0.482316
0.525,0.499662
0.530,0.518454
0.535,0.538648
0.540,0.560165
0.545,0.582887
0.550,0.606664
0.555,0.631307
0.560,0.656600
0.565,0.682300
0.570,0.708145
0.575,0.733860
0.580,0.759170
0.585,0.783804
0.590,0.807511
0.595,0.830066
0.600,0.851280
0.605,0.871005
0.610,0.889137
0.615,0.905619
0.620,0.920437
0.625,0.933612
0.630,0.945199
0.635,0.955277
0.640,0.963942
0.645,0.971305
0.650,0.977480
0.655,0.982589
0.660,0.986753
0.665,0.990092
0.670,0.992722
0.675,0.994756
0.680,0.996297
0.685,0.997440
0.690,0.998268
0.695,0.998855
0.700,0.999261
0.705,0.999534
0.710,0.999713
0.715,0.999828
0.720,0.999899
0.725,0.999943
0.730,0.999968
0.735,0.999983
0.740,0.999991
0.745,0.999995
0.750,0.999998
