Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018
0.250,0.000834,0.000238,0.000941,0.000603,0.001657,0.000784,0.002680
0.255,0.001396,0.000422,0.001555,0.001025,0.002673,0.001315,0.004182
0.260,0.002253,0.000722,0.002478,0.001680,0.004147,0.002126,0.006277
0.265,0.003504,0.001194,0.003807,0.002658,0.006197,0.003314,0.009070
0.270,0.005258,0.001909,0.005645,0.004057,0.008924,0.004987,0.012630
0.275,0.007618,0.002952,0.008088,0.005983,0.012399,0.007245,0.016970
0.280,0.010665,0.004420,0.011204,0.008529,0.016636,0.010175,0.022034
0.285,0.014445,0.006408,0.015029,0.011762,0.021586,0.013824,0.027691
0.290,0.018947,0.009008,0.019546,0.015713,0.027127,0.018196,0.033751
0.295,0.024104,0.012285,0.024684,0.020355,0.033076,0.023231,0.039986
0.300,0.029790,0.016276,0.030324,0.025607,0.039211,0.028818,0.046165
0.305,0.035834,0.020972,0.036315,0.031339,0.045301,0.034796,0.052094
0.310,0.042047,0.026320,0.042493,0.037381,0.051144,0.040986,0.057642
0.315,0.048248,0.032225,0.048709,0.043555,0.056600,0.047208,0.062766
0.320,0.054293,0.038562,0.054858,0.049697,0.061608,0.053318,0.067511
0.325,0.060104,0.045196,0.060891,0.055687,0.066197,0.059227,0.072005
0.330,0.065673,0.051999,0.066833,0.061467,0.070481,0.064917,0.076433
0.335,0.071070,0.058872,0.072772,0.067050,0.074639,0.070443,0.081013
0.340,0.076429,0.065759,0.078856,0.072518,0.078892,0.075922,0.085967
0.345,0.081926,0.072655,0.085265,0.078006,0.083475,0.081516,0.091498
0.350,0.087755,0.079603,0.092194,0.083688,0.088614,0.087410,0.097774
0.355,0.094106,0.086687,0.099826,0.089747,0.094506,0.093787,0.104912
0.360,0.101142,0.094016,0.108314,0.096358,0.101302,0.100806,0.112977
0.365,0.108983,0.101709,0.117762,0.103664,0.109098,0.108587,0.121983
0.370,0.117699,0.109876,0.128223,0.111768,0.117931,0.117203,0.131894
0.375,0.127305,0.118607,0.139690,0.120724,0.127777,0.126672,0.142633
0.380,0.137765,0.127955,0.152103,0.130535,0.138559,0.136962,0.154093
0.385,0.148994,0.137937,0.165352,0.141160,0.150148,0.147996,0.166140
0.390,0.160873,0.148526,0.179289,0.152516,0.162380,0.159659,0.178628
0.395,0.173254,0.159656,0.193740,0.164491,0.175065,0.171809,0.191403
0.400,0.185973,0.171226,0.208512,0.176953,0.188003,0.184288,0.204315
0.405,0.198865,0.183108,0.223408,0.189758,0.201000,0.196938,0.217217
0.410,0.211769,0.195161,0.238234,0.202763,0.213879,0.209605,0.229978
0.415,0.224543,0.207241,0.252811,0.215834,0.226496,0.222157,0.242482
0.420,0.237070,0.219215,0.266979,0.228852,0.238745,0.234488,0.254633
0.425,0.249264,0.230972,0.280609,0.241723,0.250565,0.246525,0.266359
0.430,0.261074,0.242439,0.293599,0.254378,0.261940,0.258231,0.277612
0.435,0.272484,0.253583,0.305885,0.266780,0.272898,0.269604,0.288367
0.440,0.283514,0.264416,0.317439,0.278922,0.283501,0.280677,0.298630
0.445,0.294212,0.274999,0.328266,0.290827,0.293844,0.291510,0.308428
0.450,0.304653,0.285429,0.338408,0.302545,0.304037,0.302187,0.317814
0.455,0.314930,0.295842,0.347936,0.314147,0.314201,0.312806,0.326860
0.460,0.325149,0.306392,0.356946,0.325720,0.324456,0.323474,0.335660
0.465,0.335426,0.317246,0.365555,0.337364,0.334191,0.334299,0.344321
0.470,0.345874,0.328571,0.373891,0.349179,0.344677,0.345387,0.352901
0.475,0.356606,0.340518,0.382093,0.361268,0.356018,0.356834,0.361502
0.480,0.367725,0.353221,0.390297,0.373722,0.368302,0.368723,0.370936
0.485,0.379425,0.367047,0.398637,0.386624,0.381612,0.381125,0.381353
0.490,0.392336,0.382602,0.407239,0.400041,0.396025,0.394093,0.392896
0.495,0.406486,0.399683,0.416426,0.414021,0.411612,0.407664,0.405693
0.500,0.421949,0.418306,0.427046,0.428775,0.428428,0.422344,0.419852
0.505,0.438776,0.438452,0.438854,0.445478,0.446517,0.438775,0.435452
0.510,0.456988,0.460070,0.451952,0.463421,0.465897,0.456456,0.452539
0.515,0.476572,0.483071,0.466421,0.482592,0.486561,0.475376,0.471121
0.520,0.497485,0.507337,0.482316,0.502950,0.508470,0.495497,0.491167
0.525,0.519650,0.532718,0.499662,0.524430,0.531550,0.516759,0.512604
0.530,0.542957,0.559038,0.518454,0.546941,0.555685,0.539071,0.535324
0.535,0.567268,0.586098,0.538648,0.570369,0.580722,0.562323,0.559184
0.540,0.592417,0.613682,0.560165,0.594577,0.606468,0.586381,0.584011
0.545,0.618217,0.641560,0.582887,0.619410,0.632698,0.611091,0.609606
0.550,0.644463,0.669497,0.606664,0.644695,0.659162,0.636285,0.635753
0.555,0.670937,0.697252,0.631307,0.670245,0.685594,0.661778,0.662225
0.560,0.697408,0.724590,0.656600,0.695860,0.711726,0.687376,0.688786
0.565,0.723644,0.751282,0.682300,0.721330,0.737298,0.712878,0.715198
0.570,0.749412,0.777112,0.708145,0.746441,0.762072,0.738075,0.741227
0.575,0.774484,0.801879,0.733860,0.770979,0.785839,0.762761,0.766647
0.580,0.798647,0.825406,0.759170,0.794734,0.808430,0.786735,0.791244
