CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018
1,0.307694,0.335617,0.299506,0.323245,0.267295,0.321933,0.296586
2,0.445542,0.444459,0.437874,0.472377,0.424514,0.461787,0.437862
3,0.428046,0.428797,0.423294,0.455601,0.408038,0.440918,0.414561
4,0.447283,0.466081,0.445646,0.463825,0.387474,0.475427,0.445355
5,0.385095,0.420084,0.384682,0.401111,0.312641,0.410636,0.374640
6,0.380664,0.380566,0.378488,0.395760,0.376112,0.393160,0.362988
7,0.460000,0.471974,0.459375,0.479273,0.429931,0.476707,0.440432
8,0.399072,0.410811,0.391808,0.422397,0.380560,0.408559,0.378370
9,0.599954,0.588012,0.637445,0.597956,0.572465,0.617975,0.588577
10,0.652988,0.660744,0.669592,0.664988,0.608673,0.674815,0.638535
11,0.421313,0.445176,0.422202,0.427355,0.394508,0.431020,0.399441
12,0.361823,0.354973,0.351944,0.385987,0.375210,0.374669,0.333536
13,0.462321,0.465819,0.458888,0.492356,0.453709,0.478947,0.422675
14,0.596103,0.597021,0.613936,0.613406,0.570501,0.618380,0.563046
15,0.476382,0.484142,0.479903,0.493718,0.455552,0.495462,0.448273
16,0.436321,0.455103,0.434116,0.449061,0.411538,0.450589,0.411215
17,0.414837,0.419625,0.414224,0.434725,0.393313,0.426260,0.400524
18,0.383153,0.384775,0.389155,0.395361,0.379382,0.390885,0.360178
19,0.366129,0.394116,0.380262,0.378891,0.320049,0.371957,0.344459
20,0.786330,0.763421,0.792356,0.799986,0.771333,0.804171,0.794706
21,0.455483,0.452478,0.447046,0.469995,0.461640,0.465182,0.437289
22,0.596207,0.588620,0.603623,0.610275,0.570765,0.612992,0.594633
23,0.571992,0.566332,0.573003,0.590715,0.548725,0.582710,0.575845
24,0.796482,0.746650,0.824289,0.813687,0.775599,0.820454,0.813251
25,0.627720,0.600163,0.646545,0.649148,0.604244,0.640997,0.636982
26,0.444431,0.407862,0.518341,0.448547,0.415690,0.450670,0.435160
27,0.529924,0.498392,0.589335,0.544974,0.487987,0.537787,0.530245
28,0.517459,0.468084,0.580430,0.534525,0.488544,0.531266,0.519998
