Vf,AG2018
0.250,0.002660
0.255,0.004409
0.260,0.007043
0.265,0.010849
0.270,0.016126
0.275,0.023148
0.280,0.032119
0.285,0.043127
0.290,0.056099
0.295,0.070787
0.300,0.086773
0.305,0.103503
0.310,0.120346
0.315,0.136669
0.320,0.151911
0.325,0.165641
0.330,0.177594
0.335,0.187685
0.340,0.195990
0.345,0.202713
0.350,0.208143
0.355,0.212612
0.360,0.216454
0.365,0.219981
0.370,0.223460
0.375,0.227109
0.380,0.231088
0.385,0.235506
0.390,0.240421
0.395,0.245851
0.400,0.251774
0.405,0.258137
0.410,0.264866
0.415,0.271867
0.420,0.279036
0.425,0.286267
0.430,0.293453
0.435,0.300497
0.440,0.307311
0.445,0.313825
0.450,0.319981
0.455,0.325743
0.460,0.331092
0.465,0.336028
0.470,0.340569
0.475,0.344750
0.480,0.348621
0.485,0.352246
0.490,0.355697
0.495,0.359370
0.500,0.363465
0.505,0.368120
0.510,0.373478
0.515,0.379686
0.520,0.386890
0.525,0.395227
0.530,0.404827
0.535,0.415800
0.540,0.428240
0.545,0.442218
0.550,0.457779
0.555,0.474943
0.560,0.493702
0.565,0.514018
0.570,0.535827
0.575,0.559032
0.580,0.583509
0.585,0.609103
0.590,0.635630
0.595,0.662878
0.600,0.690605
0.605,0.718545
0.610,0.746406
0.615,0.773880
0.620,0.800646
0.625,0.826386
0.630,0.850788
0.635,0.873572
0.640,0.894496
0.645,0.913375
0.650,0.930089
0.655,0.944595
0.660,0.956921
0.665,0.967167
0.670,0.975492
0.675,0.982096
0.680,0.987208
0.685,0.991068
0.690,0.993909
0.695,0.995945
0.700,0.997366
0.705,0.998331
0.710,0.998970
0.715,0.999380
0.720,0.999637
0.725,0.999793
0.730,0.999885
0.735,0.999938
0.740,0.999967
0.745,0.999983
0.750,0.999992
