Vf,P2020
0.250,0.002171
0.255,0.003621
0.260,0.005824
0.265,0.009039
0.270,0.013546
0.275,0.019621
0.280,0.027492
0.285,0.037299
0.290,0.049055
0.295,0.062617
0.300,0.077680
0.305,0.093794
0.310,0.110405
0.315,0.126919
0.320,0.142762
0.325,0.157452
0.330,0.170642
0.335,0.182146
0.340,0.191943
0.345,0.200155
0.350,0.207010
0.355,0.212804
0.360,0.217854
0.365,0.222461
0.370,0.226891
0.375,0.231349
0.380,0.235982
0.385,0.240875
0.390,0.246062
0.395,0.251533
0.400,0.257250
0.405,0.263156
0.410,0.269185
0.415,0.275272
0.420,0.281360
0.425,0.287400
0.430,0.293354
0.435,0.299196
0.440,0.304906
0.445,0.310474
0.450,0.315892
0.455,0.321154
0.460,0.326261
0.465,0.331215
0.470,0.336023
0.475,0.340704
0.480,0.345284
0.485,0.349802
0.490,0.354309
0.495,0.358868
0.500,0.363555
0.505,0.369063
0.510,0.375572
0.515,0.383093
0.520,0.391775
0.525,0.401749
0.530,0.413116
0.535,0.425949
0.540,0.440278
0.545,0.456098
0.550,0.473363
0.555,0.491995
0.560,0.511890
0.565,0.532923
0.570,0.554963
0.575,0.577874
0.580,0.601527
0.585,0.625796
0.590,0.650563
0.595,0.675709
0.600,0.701110
0.605,0.726627
0.610,0.752099
0.615,0.777335
0.620,0.802114
0.625,0.826189
0.630,0.849290
0.635,0.871146
0.640,0.891497
0.645,0.910117
0.650,0.926830
0.655,0.941527
0.660,0.954174
0.665,0.964811
0.670,0.973548
0.675,0.980549
0.680,0.986019
0.685,0.990184
0.690,0.993271
0.695,0.995500
0.700,0.997064
0.705,0.998133
0.710,0.998843
0.715,0.999302
0.720,0.999590
0.725,0.999765
0.730,0.999869
0.735,0.999929
0.740,0.999963
0.745,0.999981
0.750,0.999990
