Vf,S2020
0.250,0.002532
0.255,0.004215
0.260,0.006762
0.265,0.010460
0.270,0.015614
0.275,0.022508
0.280,0.031361
0.285,0.042276
0.290,0.055200
0.295,0.069900
0.300,0.085967
0.305,0.102848
0.310,0.119906
0.315,0.136497
0.320,0.152045
0.325,0.166107
0.330,0.178415
0.335,0.188886
0.340,0.197605
0.345,0.204790
0.350,0.210744
0.355,0.215808
0.360,0.220313
0.365,0.224556
0.370,0.228777
0.375,0.233148
0.380,0.237782
0.385,0.242730
0.390,0.247997
0.395,0.253554
0.400,0.259346
0.405,0.265308
0.410,0.271369
0.415,0.277464
0.420,0.283537
0.425,0.289542
0.430,0.295445
0.435,0.301222
0.440,0.306855
0.445,0.312332
0.450,0.317645
0.455,0.322785
0.460,0.327750
0.465,0.332538
0.470,0.337154
0.475,0.341613
0.480,0.345937
0.485,0.350163
0.490,0.354340
0.495,0.358763
0.500,0.363724
0.505,0.369353
0.510,0.375802
0.515,0.383224
0.520,0.391768
0.525,0.401566
0.530,0.412733
0.535,0.425357
0.540,0.439493
0.545,0.455167
0.550,0.472366
0.555,0.491050
0.560,0.511148
0.565,0.532562
0.570,0.555181
0.575,0.578874
0.580,0.603502
0.585,0.628915
0.590,0.654953
0.595,0.681443
0.600,0.708193
0.605,0.734994
0.610,0.761611
0.615,0.787784
0.620,0.813238
0.625,0.837681
0.630,0.860829
0.635,0.882412
0.640,0.902197
0.645,0.920005
0.650,0.935722
0.655,0.949308
0.660,0.960799
0.665,0.970298
0.670,0.977968
0.675,0.984012
0.680,0.988657
0.685,0.992137
0.690,0.994677
0.695,0.996483
0.700,0.997733
0.705,0.998575
0.710,0.999126
0.715,0.999478
0.720,0.999696
0.725,0.999828
0.730,0.999905
0.735,0.999949
0.740,0.999973
0.745,0.999986
0.750,0.999993
