METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.480261,Vf,0.501283,Vf,0.473388,Vf,0.490894,Vf,0.428246,Vf,0.492988,Vf,0.486957
Sf,0.350199,Sf,0.364788,Sf,0.350381,Sf,0.355086,Sf,0.297939,Sf,0.355647,Sf,0.353614
EG,0.110323,EG,0.137778,EG,0.096395,EG,0.126702,EG,0.058553,EG,0.130329,EG,0.120300
PR,0.130062,PR,0.136495,PR,0.123007,PR,0.135808,PR,0.130307,PR,0.137341,PR,0.133343
GAMMA,0.135927,GAMMA,0.136626,GAMMA,0.128538,GAMMA,0.136859,GAMMA,0.093022,GAMMA,0.139603,GAMMA,0.137384
BS_50,0.134042,BS_50,0.136445,BS_50,0.127796,BS_50,0.136276,BS_50,0.123039,BS_50,0.139238,BS_50,0.136535
BV_50,0.058466,BV_50,0.057012,BV_50,0.057982,BV_50,0.057227,BV_50,0.050256,BV_50,0.064265,BV_50,0.061550
BS_V,0.129084,BS_V,0.136340,BS_V,0.119175,BS_V,0.135110,BS_V,0.051314,BS_V,0.138687,BS_V,0.134574
GS,0.063050,GS,0.059906,GS,0.063277,GS,0.061898,GS,0.064997,GS,0.065278,GS,0.063531
MM,0.077208,MM,0.072688,MM,0.080566,MM,0.073537,MM,0.078962,MM,0.079975,MM,0.077913
LO,0.064285,LO,0.097445,LO,0.052654,LO,0.085105,LO,-0.006784,LO,0.083323,LO,0.069871
DECL,26.088628,DECL,29.377359,DECL,24.374003,DECL,28.577505,DECL,21.850997,DECL,28.078365,DECL,26.517462
R,7.589097,R,-105.387680,R,5.622230,R,15.914129,R,2.816029,R,20.586603,R,11.223367
r,0.702893,r,1.101716,r,0.792160,r,0.884624,r,1.519623,r,0.677439,r,0.690186
Sb,0.350199,Sb,0.364788,Sb,0.350381,Sb,0.355086,Sb,0.297939,Sb,0.355647,Sb,0.353614
Ra,0.675099,Ra,0.682394,Ra,0.675191,Ra,0.677543,Ra,0.648969,Ra,0.677823,Ra,0.676807
Rb,0.175099,Rb,0.182394,Rb,0.175191,Rb,0.177543,Rb,0.148969,Rb,0.177823,Rb,0.176807
Va,0.639917,Va,0.617641,Va,0.649100,Va,0.626729,Va,0.671878,Va,0.636047,Va,0.636334
Vb,0.295798,Vb,0.284914,Vb,0.298246,Vb,0.288166,Vb,0.334906,Vb,0.280630,Vb,0.293795
L_Vf,0.460000,L_Vf,0.480000,L_Vf,0.450000,L_Vf,0.470000,L_Vf,0.405000,L_Vf,0.470000,L_Vf,0.465000
L_Sf,0.332770,L_Sf,0.345284,L_Sf,0.326413,L_Sf,0.337154,L_Sf,0.259548,L_Sf,0.338613,L_Sf,0.336028
U_Vf,0.505000,U_Vf,0.525000,U_Vf,0.495000,U_Vf,0.515000,U_Vf,0.450000,U_Vf,0.515000,U_Vf,0.510000
U_Sf,0.371181,U_Sf,0.401749,U_Sf,0.367283,U_Sf,0.383224,U_Sf,0.323129,U_Sf,0.375546,U_Sf,0.373478
