CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.416515,1,0.432171,1,0.414911,1,0.426604,1,0.373798,1,0.424513,1,0.422210
2,0.541556,2,0.552346,2,0.546356,2,0.543039,2,0.505567,2,0.550831,2,0.547818
3,0.326359,3,0.347564,3,0.316868,3,0.338592,3,0.287300,3,0.328678,3,0.333222
4,0.770078,4,0.791732,4,0.769236,4,0.781978,4,0.704903,4,0.788685,4,0.772394
5,0.814937,5,0.836625,5,0.835233,5,0.816296,5,0.735373,5,0.841834,5,0.812324
6,0.377509,6,0.425020,6,0.360472,6,0.401317,6,0.290546,6,0.387950,6,0.376460
7,0.594526,7,0.630710,7,0.572708,7,0.620493,7,0.511339,7,0.611304,7,0.598797
8,0.341536,8,0.360428,8,0.343019,8,0.351103,8,0.311150,8,0.342709,8,0.343510
9,0.280900,9,0.308105,9,0.264903,9,0.298028,9,0.240303,9,0.282077,9,0.285497
10,0.360619,10,0.381374,10,0.351036,10,0.372307,10,0.319751,10,0.365455,10,0.365484
11,0.389590,11,0.422269,11,0.370732,11,0.408111,11,0.324771,11,0.401514,11,0.395877
12,0.429291,12,0.448665,12,0.432368,12,0.438394,12,0.391704,12,0.431844,12,0.430581
13,0.791887,13,0.804792,13,0.778993,13,0.805507,13,0.738799,13,0.811353,13,0.801266
14,0.293001,14,0.310471,14,0.276820,14,0.307091,14,0.263962,14,0.296235,14,0.301655
