CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.733396,1,0.714837,1,0.750041,1,0.707639,1,0.753897,1,0.744882,1,0.725749
2,0.713458,2,0.702877,2,0.720706,2,0.706617,2,0.722558,2,0.728879,2,0.699409
3,0.713056,3,0.711362,3,0.737362,3,0.724250,3,0.696903,3,0.708412,3,0.693080
4,0.743171,4,0.736381,4,0.769053,4,0.760533,4,0.733721,4,0.736596,4,0.713087
5,0.668884,5,0.702520,5,0.705752,5,0.690507,5,0.616462,5,0.640575,5,0.643675
6,0.540768,6,0.555410,6,0.544301,6,0.561797,6,0.530710,6,0.526759,6,0.516098
7,0.863895,7,0.870004,7,0.897823,7,0.859725,7,0.847400,7,0.853169,7,0.844093
8,0.567110,8,0.578510,8,0.583680,8,0.581015,8,0.557252,8,0.542196,8,0.547172
9,0.695636,9,0.710295,9,0.725596,9,0.707463,9,0.659301,9,0.681985,9,0.681525
10,0.584924,10,0.631819,10,0.622716,10,0.599135,10,0.530823,10,0.546973,10,0.559789
11,0.544069,11,0.578146,11,0.557291,11,0.562152,11,0.517591,11,0.513640,11,0.517429
12,0.323121,12,0.282213,12,0.274778,12,0.317645,12,0.412224,12,0.369091,12,0.311463
13,0.561107,13,0.557413,13,0.544662,13,0.566263,13,0.579730,13,0.587540,13,0.531624
14,0.551358,14,0.558470,14,0.546050,14,0.561210,14,0.550673,14,0.549689,14,0.536011
15,0.319382,15,0.302205,15,0.295177,15,0.332029,15,0.366838,15,0.348441,15,0.292171
16,0.377229,16,0.389944,16,0.371132,16,0.394929,16,0.367684,16,0.385627,16,0.355166
17,0.537204,17,0.539878,17,0.535808,17,0.547195,17,0.531609,17,0.551056,17,0.517266
