Vf,P2016
0.250,0.000082
0.255,0.000151
0.260,0.000268
0.265,0.000460
0.270,0.000766
0.275,0.001234
0.280,0.001927
0.285,0.002919
0.290,0.004289
0.295,0.006121
0.300,0.008492
0.305,0.011467
0.310,0.015092
0.315,0.019390
0.320,0.024365
0.325,0.030007
0.330,0.036307
0.335,0.043268
0.340,0.050920
0.345,0.059330
0.350,0.068604
0.355,0.078881
0.360,0.090316
0.365,0.103058
0.370,0.117226
0.375,0.132883
0.380,0.150015
0.385,0.168522
0.390,0.188216
0.395,0.208826
0.400,0.230025
0.405,0.251447
0.410,0.272722
0.415,0.293499
0.420,0.313479
0.425,0.332431
0.430,0.350205
0.435,0.366738
0.440,0.382052
0.445,0.396242
0.450,0.409463
0.455,0.421914
0.460,0.433817
0.465,0.445403
0.470,0.456896
0.475,0.468500
0.480,0.480388
0.485,0.492702
0.490,0.505544
0.495,0.518976
0.500,0.533024
0.505,0.547678
0.510,0.562890
0.515,0.578588
0.520,0.594669
0.525,0.611011
0.530,0.627474
0.535,0.643906
0.540,0.660149
0.545,0.676046
0.550,0.691443
0.555,0.706200
0.560,0.720189
0.565,0.733306
0.570,0.745466
0.575,0.756612
0.580,0.766711
0.585,0.775755
0.590,0.783760
0.595,0.792006
0.600,0.799006
0.605,0.804827
0.610,0.809623
0.615,0.813569
0.620,0.816856
0.625,0.819681
0.630,0.822242
0.635,0.824732
0.640,0.827333
0.645,0.830208
0.650,0.833498
0.655,0.837318
0.660,0.841761
0.665,0.846900
0.670,0.852796
0.675,0.859503
0.680,0.867072
0.685,0.875537
0.690,0.884906
0.695,0.895132
0.700,0.906095
0.705,0.917583
0.710,0.929298
0.715,0.940874
0.720,0.951922
0.725,0.962075
0.730,0.971040
0.735,0.978633
0.740,0.984793
0.745,0.989576
0.750,0.993126
