Vf,S2016
0.250,0.000127
0.255,0.000236
0.260,0.000422
0.265,0.000731
0.270,0.001227
0.275,0.001996
0.280,0.003146
0.285,0.004810
0.290,0.007135
0.295,0.010277
0.300,0.014385
0.305,0.019582
0.310,0.025953
0.315,0.033525
0.320,0.042260
0.325,0.052055
0.330,0.062749
0.335,0.074139
0.340,0.085997
0.345,0.098094
0.350,0.110213
0.355,0.122162
0.360,0.133778
0.365,0.144924
0.370,0.155488
0.375,0.165375
0.380,0.174507
0.385,0.182824
0.390,0.190282
0.395,0.196865
0.400,0.202585
0.405,0.207483
0.410,0.211634
0.415,0.215143
0.420,0.218138
0.425,0.220763
0.430,0.223175
0.435,0.225538
0.440,0.228014
0.445,0.230765
0.450,0.234004
0.455,0.238148
0.460,0.243304
0.465,0.249660
0.470,0.257411
0.475,0.266754
0.480,0.277880
0.485,0.290968
0.490,0.306175
0.495,0.323631
0.500,0.343426
0.505,0.365604
0.510,0.390158
0.515,0.417023
0.520,0.446071
0.525,0.477109
0.530,0.509883
0.535,0.544077
0.540,0.579318
0.545,0.615190
0.550,0.651241
0.555,0.687000
0.560,0.721993
0.565,0.755765
0.570,0.787892
0.575,0.818006
0.580,0.845804
0.585,0.871064
0.590,0.893651
0.595,0.913516
0.600,0.930692
0.605,0.945288
0.610,0.957475
0.615,0.967469
0.620,0.975516
0.625,0.981876
0.630,0.986810
0.635,0.990564
0.640,0.993367
0.645,0.995420
0.650,0.996894
0.655,0.997931
0.660,0.998647
0.665,0.999132
0.670,0.999453
0.675,0.999662
0.680,0.999795
0.685,0.999878
0.690,0.999929
0.695,0.999959
0.700,0.999977
0.705,0.999987
0.710,0.999993
0.715,0.999996
0.720,0.999998
0.725,0.999999
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
