Vf,composite,P2020,P2016,S2018,S2016,G2020,AG2020
0.250,0.000854,0.003999,0.005123,0.000294,0.000127,0.005058,0.002271
0.255,0.001462,0.006273,0.007909,0.000528,0.000236,0.007813,0.003689
0.260,0.002411,0.009463,0.011738,0.000913,0.000422,0.011601,0.005769
0.265,0.003838,0.013736,0.016764,0.001527,0.000731,0.016575,0.008687
0.270,0.005896,0.019207,0.023068,0.002471,0.001227,0.022814,0.012610
0.275,0.008749,0.025899,0.030625,0.003866,0.001996,0.030292,0.017659
0.280,0.012551,0.033723,0.039293,0.005856,0.003146,0.038859,0.023879
0.285,0.017418,0.042465,0.048814,0.008590,0.004810,0.048253,0.031220
0.290,0.023412,0.051804,0.058850,0.012212,0.007135,0.058123,0.039518
0.295,0.030511,0.061349,0.069033,0.016840,0.010277,0.068086,0.048505
0.300,0.038609,0.070689,0.079020,0.022545,0.014385,0.077782,0.057839
0.305,0.047513,0.079453,0.088553,0.029338,0.019582,0.086935,0.067140
0.310,0.056967,0.087365,0.097492,0.037154,0.025953,0.095389,0.076050
0.315,0.066686,0.094272,0.105827,0.045859,0.033525,0.103126,0.084279
0.320,0.076396,0.100155,0.113659,0.055259,0.042260,0.110250,0.091642
0.325,0.085871,0.105121,0.121165,0.065125,0.052055,0.116953,0.098076
0.330,0.094962,0.109370,0.128545,0.075224,0.062749,0.123469,0.103639
0.335,0.103613,0.113158,0.135978,0.085345,0.074139,0.130023,0.108490
0.340,0.111852,0.116760,0.143582,0.095327,0.085997,0.136792,0.112852
0.345,0.119769,0.120436,0.151395,0.105069,0.098094,0.143877,0.116979
0.350,0.127490,0.124404,0.159368,0.114531,0.110213,0.151289,0.121121
0.355,0.135139,0.128831,0.167381,0.123721,0.122162,0.158957,0.125493
0.360,0.142808,0.133819,0.175263,0.132674,0.133778,0.166744,0.130261
0.365,0.150539,0.139406,0.182823,0.141428,0.144924,0.172393,0.135528
0.370,0.158313,0.145566,0.189876,0.150004,0.155488,0.176661,0.141329
0.375,0.166056,0.152222,0.196268,0.158393,0.165375,0.180833,0.147636
0.380,0.173652,0.159249,0.201891,0.166550,0.174507,0.184878,0.154367
0.385,0.180962,0.166492,0.206693,0.174401,0.182824,0.188764,0.161396
0.390,0.187843,0.173780,0.210675,0.181851,0.190282,0.192468,0.168566
0.395,0.194171,0.180943,0.213885,0.188807,0.196865,0.195972,0.175707
0.400,0.199856,0.187826,0.216164,0.195187,0.202585,0.199268,0.182654
0.405,0.204846,0.194304,0.217321,0.200938,0.207483,0.202355,0.189258
0.410,0.209138,0.200296,0.218376,0.206046,0.211634,0.205243,0.195404
0.415,0.212770,0.205762,0.219365,0.210537,0.215143,0.207956,0.201016
0.420,0.215818,0.210116,0.220332,0.214478,0.218138,0.210529,0.204961
0.425,0.218387,0.213415,0.221327,0.217971,0.220763,0.213014,0.208239
0.430,0.220600,0.216775,0.222415,0.221147,0.223175,0.215479,0.211503
0.435,0.222579,0.220279,0.223669,0.224156,0.225538,0.218015,0.214839
0.440,0.224341,0.224021,0.225179,0.227159,0.228014,0.220730,0.218357
0.445,0.226460,0.228113,0.227054,0.230323,0.230765,0.223760,0.222187
0.450,0.229074,0.232679,0.229417,0.233811,0.234004,0.227262,0.226487
0.455,0.232343,0.237856,0.232413,0.237782,0.238148,0.231422,0.231436
0.460,0.236450,0.243796,0.236206,0.242384,0.243304,0.236449,0.237233
0.465,0.241599,0.250662,0.240980,0.247756,0.249660,0.242575,0.244099
0.470,0.248010,0.258630,0.246934,0.254136,0.257411,0.250052,0.252267
0.475,0.255918,0.267887,0.254284,0.262241,0.266754,0.259143,0.261976
0.480,0.265564,0.278627,0.263252,0.271825,0.277880,0.270119,0.273468
0.485,0.277187,0.291047,0.274063,0.283039,0.290968,0.283240,0.286973
0.490,0.291014,0.305346,0.286938,0.296027,0.306175,0.298752,0.302702
0.495,0.307247,0.321711,0.302079,0.310920,0.323631,0.316864,0.320833
0.500,0.326054,0.340311,0.319665,0.327833,0.343426,0.337736,0.341502
0.505,0.347549,0.361286,0.339834,0.346858,0.365604,0.361466,0.364789
0.510,0.371786,0.384730,0.362673,0.368064,0.390158,0.388071,0.390706
0.515,0.398744,0.410680,0.388208,0.391483,0.417023,0.417476,0.419189
0.520,0.428319,0.439101,0.416388,0.417108,0.446071,0.449508,0.450093
0.525,0.460318,0.469873,0.447079,0.444880,0.477109,0.483892,0.483183
0.530,0.494459,0.502787,0.480062,0.474688,0.509883,0.520251,0.518142
0.535,0.530372,0.537537,0.515023,0.506353,0.544077,0.558120,0.554570
0.540,0.567611,0.573727,0.551566,0.539630,0.579318,0.596956,0.592000
0.545,0.605665,0.610881,0.589218,0.574203,0.615190,0.636165,0.629910
0.550,0.643981,0.648459,0.627445,0.609690,0.651241,0.675127,0.667747
0.555,0.681980,0.685883,0.665674,0.645652,0.687000,0.713224,0.704948
0.560,0.719091,0.722564,0.703318,0.681603,0.721993,0.749870,0.740967
0.565,0.754771,0.757933,0.739805,0.717036,0.755765,0.784541,0.775298
0.570,0.788532,0.791469,0.774601,0.751441,0.787892,0.816797,0.807501
0.575,0.819962,0.822730,0.807241,0.784332,0.818006,0.846300,0.837219
0.580,0.848743,0.851365,0.837346,0.815273,0.845804,0.872824,0.864191
0.585,0.874657,0.877135,0.864640,0.843897,0.871064,0.896259,0.888261
0.590,0.897594,0.899915,0.888956,0.869928,0.893651,0.916603,0.909374
0.595,0.917547,0.919690,0.910240,0.893188,0.913516,0.933954,0.927574
0.600,0.934602,0.936544,0.928537,0.913601,0.930692,0.948489,0.942988
0.605,0.948920,0.950645,0.943982,0.931190,0.945288,0.960447,0.955811
0.610,0.960727,0.962224,0.956782,0.946066,0.957475,0.970107,0.966287
0.615,0.970285,0.971557,0.967194,0.958412,0.967469,0.977770,0.974690
0.620,0.977883,0.978937,0.975506,0.968463,0.975516,0.983737,0.981308
0.625,0.983810,0.984663,0.982018,0.976489,0.981876,0.988299,0.986423
0.630,0.988347,0.989022,0.987022,0.982774,0.986810,0.991721,0.990304
0.635,0.991756,0.992277,0.990794,0.987599,0.990564,0.994242,0.993193
0.640,0.994268,0.994661,0.993584,0.991231,0.993367,0.996063,0.995304
0.645,0.996085,0.996374,0.995607,0.993911,0.995420,0.997354,0.996816
