Vf,composite
0.250,0.000854
0.255,0.001462
0.260,0.002411
0.265,0.003838
0.270,0.005896
0.275,0.008749
0.280,0.012551
0.285,0.017418
0.290,0.023412
0.295,0.030511
0.300,0.038609
0.305,0.047513
0.310,0.056967
0.315,0.066686
0.320,0.076396
0.325,0.085871
0.330,0.094962
0.335,0.103613
0.340,0.111852
0.345,0.119769
0.350,0.127490
0.355,0.135139
0.360,0.142808
0.365,0.150539
0.370,0.158313
0.375,0.166056
0.380,0.173652
0.385,0.180962
0.390,0.187843
0.395,0.194171
0.400,0.199856
0.405,0.204846
0.410,0.209138
0.415,0.212770
0.420,0.215818
0.425,0.218387
0.430,0.220600
0.435,0.222579
0.440,0.224341
0.445,0.226460
0.450,0.229074
0.455,0.232343
0.460,0.236450
0.465,0.241599
0.470,0.248010
0.475,0.255918
0.480,0.265564
0.485,0.277187
0.490,0.291014
0.495,0.307247
0.500,0.326054
0.505,0.347549
0.510,0.371786
0.515,0.398744
0.520,0.428319
0.525,0.460318
0.530,0.494459
0.535,0.530372
0.540,0.567611
0.545,0.605665
0.550,0.643981
0.555,0.681980
0.560,0.719091
0.565,0.754771
0.570,0.788532
0.575,0.819962
0.580,0.848743
0.585,0.874657
0.590,0.897594
0.595,0.917547
0.600,0.934602
0.605,0.948920
0.610,0.960727
0.615,0.970285
0.620,0.977883
0.625,0.983810
0.630,0.988347
0.635,0.991756
0.640,0.994268
0.645,0.996085
0.650,0.997373
0.655,0.998268
0.660,0.998879
0.665,0.999288
0.670,0.999556
0.675,0.999728
0.680,0.999837
0.685,0.999904
0.690,0.999944
0.695,0.999968
0.700,0.999982
0.705,0.999990
0.710,0.999995
0.715,0.999997
0.720,0.999999
0.725,0.999999
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
