METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2020,METRIC,AG2020
Vf,0.434732,Vf,0.418018,Vf,0.398841,Vf,0.469095,Vf,0.448695,Vf,0.361929,Vf,0.416595
Sf,0.222492,Sf,0.208809,Sf,0.215878,Sf,0.252815,Sf,0.233068,Sf,0.169741,Sf,0.202688
EG,0.146972,EG,0.127227,EG,0.081804,EG,0.185375,EG,0.164322,EG,0.054117,EG,0.130502
PR,0.212240,PR,0.209209,PR,0.182963,PR,0.216280,PR,0.215627,PR,0.192188,PR,0.213907
GAMMA,0.251684,GAMMA,0.219799,GAMMA,0.238015,GAMMA,0.207751,GAMMA,0.233695,GAMMA,0.174247,GAMMA,0.231501
BS_50,0.173946,BS_50,0.159689,BS_50,0.180335,BS_50,0.172167,BS_50,0.156574,BS_50,0.162264,BS_50,0.158498
BV_50,0.030771,BV_50,0.029577,BV_50,0.032851,BV_50,0.033997,BV_50,0.028492,BV_50,0.027215,BV_50,0.027405
BS_V,0.010473,BS_V,-0.034985,BS_V,-0.073876,BS_V,0.133300,BS_V,0.053134,BS_V,-0.082142,BS_V,-0.041429
GS,0.058057,GS,0.058041,GS,0.068292,GS,0.054522,GS,0.050837,GS,0.062954,GS,0.055508
MM,0.047039,MM,0.057509,MM,0.048512,MM,0.045700,MM,0.043418,MM,0.037904,MM,0.040206
LO,0.016283,LO,-0.001751,LO,-0.034439,LO,0.055450,LO,0.024445,LO,-0.100198,LO,-0.009693
DECL,33.729865,DECL,33.061219,DECL,27.370733,DECL,35.500834,DECL,32.729010,DECL,20.633320,DECL,32.138199
R,4.251824,R,3.551884,R,2.808669,R,7.998229,R,5.202853,R,2.391949,R,3.564677
r,0.395667,r,0.870823,r,0.455788,r,1.275975,r,0.647845,r,1.129939,r,0.789058
Sb,0.222492,Sb,0.208809,Sb,0.215878,Sb,0.252815,Sb,0.233068,Sb,0.169741,Sb,0.202688
Ra,0.611246,Ra,0.604405,Ra,0.607939,Ra,0.626407,Ra,0.616534,Ra,0.584871,Ra,0.601344
Rb,0.111246,Rb,0.104405,Rb,0.107939,Rb,0.126407,Rb,0.116534,Rb,0.084871,Rb,0.101344
Va,0.621545,Va,0.634794,Va,0.662607,Va,0.590783,Va,0.605466,Va,0.683564,Va,0.633043
Vb,0.362171,Vb,0.366957,Vb,0.371832,Vb,0.353767,Vb,0.370089,Vb,0.416634,Vb,0.376650
L_Vf,0.410000,L_Vf,0.395000,L_Vf,0.375000,L_Vf,0.445000,L_Vf,0.425000,L_Vf,0.340000,L_Vf,0.395000
L_Sf,0.209138,L_Sf,0.180943,L_Sf,0.196268,L_Sf,0.230323,L_Sf,0.220763,L_Sf,0.136792,L_Sf,0.175707
U_Vf,0.455000,U_Vf,0.440000,U_Vf,0.420000,U_Vf,0.490000,U_Vf,0.470000,U_Vf,0.385000,U_Vf,0.440000
U_Sf,0.232343,U_Sf,0.224021,U_Sf,0.220332,U_Sf,0.296027,U_Sf,0.257411,U_Sf,0.188764,U_Sf,0.218357
