METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.418609,0.425066,0.388888,0.439811,0.341463,0.527866,0.410418,0.422252,0.025332,0.059993,-0.003643,-0.008628,-0.143810
Sf,0.133256,0.184080,0.059849,0.201577,0.002486,0.650486,0.115513,0.202332,0.094684,0.467964,-0.069076,-0.341399,-0.729542
EG,0.203962,0.166052,0.217927,0.178045,0.180440,-0.094754,0.205323,0.142172,0.048022,0.337774,0.061790,0.434614,1.286702
PR,0.285353,0.240986,0.329039,0.238234,0.338977,-0.122620,0.294905,0.219920,0.070668,0.321335,0.065433,0.297531,0.925921
GAMMA,0.110888,0.157452,0.196606,0.095224,0.469789,0.037033,0.170794,0.187816,0.061130,0.325478,-0.076928,-0.409592,-1.258433
BS_50,0.051066,0.081889,0.039823,0.062603,0.008573,0.037575,0.067479,0.049657,0.010731,0.216102,0.001409,0.028375,0.131302
BV_50,0.008436,0.013966,0.006529,0.010507,0.001313,0.005476,0.010592,0.008064,0.001842,0.228423,0.000372,0.046131,0.201954
BS_V,-0.025683,-0.032026,-0.021575,-0.009920,-0.001030,0.035027,-0.031840,-0.010227,0.010334,-1.010463,-0.015456,1.511294,-1.495645
GS,0.012215,0.019639,0.011722,0.013250,0.003833,0.009006,0.015732,0.012197,0.002231,0.182914,0.000018,0.001476,0.008068
MM,0.014285,0.022464,0.012803,0.016786,-0.000010,0.011253,0.019504,0.013800,0.003239,0.234710,0.000485,0.035145,0.149738
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.035527,0.000000,0.005921,0.005921,1.000000,-0.005921,-1.000000,-1.000000
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,4.505950,4.215983,3.961330,4.958095,3.138160,5.400349,4.292015,4.327655,0.322023,0.074411,0.178295,0.041199,0.553672
r,3.143537,2.114771,2.191891,3.376010,0.174886,6.729304,2.385449,2.828718,0.888232,0.314005,0.314819,0.111294,0.354433
Sb,0.133256,0.184080,0.059849,0.201577,0.002486,0.650486,0.115513,0.202332,0.094684,0.467964,-0.069076,-0.341399,-0.729542
Ra,0.566628,0.592040,0.529924,0.600789,0.501243,0.825243,0.557756,0.601166,0.047342,0.078750,-0.034538,-0.057452,-0.729542
Rb,0.066628,0.092040,0.029924,0.100789,0.001243,0.325243,0.057756,0.101166,0.047342,0.467964,-0.034538,-0.341399,-0.729542
Va,0.598850,0.603475,0.620067,0.586007,0.661458,0.503240,0.606476,0.596787,0.021393,0.035847,0.002063,0.003457,0.096433
Vb,0.500000,0.480434,0.500000,0.483409,0.500000,0.461233,0.500000,0.487513,0.006391,0.013109,0.012487,0.025614,1.953841
L_Vf,0.395000,0.405000,0.365000,0.415000,0.320000,0.505000,0.390000,0.400000,0.025166,0.062915,-0.005000,-0.012500,-0.198681
L_Sf,0.062473,0.121552,0.018588,0.117639,0.000368,0.496739,0.058369,0.135542,0.075030,0.553555,-0.073069,-0.539088,-0.973864
U_Vf,0.440000,0.450000,0.410000,0.460000,0.365000,0.550000,0.435000,0.445000,0.025166,0.056553,-0.005000,-0.011236,-0.198681
U_Sf,0.193030,0.238044,0.104140,0.261418,0.009411,0.797234,0.175878,0.264354,0.113012,0.427503,-0.071324,-0.269805,-0.631119
