Vf,G2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000001
0.295,0.000001
0.300,0.000003
0.305,0.000005
0.310,0.000009
0.315,0.000015
0.320,0.000027
0.325,0.000046
0.330,0.000077
0.335,0.000128
0.340,0.000207
0.345,0.000330
0.350,0.000518
0.355,0.000799
0.360,0.001212
0.365,0.001807
0.370,0.002651
0.375,0.003825
0.380,0.005431
0.385,0.007589
0.390,0.010438
0.395,0.014136
0.400,0.018854
0.405,0.024773
0.410,0.032078
0.415,0.040948
0.420,0.051549
0.425,0.064023
0.430,0.078484
0.435,0.095005
0.440,0.113618
0.445,0.134312
0.450,0.157028
0.455,0.181669
0.460,0.208102
0.465,0.236167
0.470,0.265682
0.475,0.296457
0.480,0.328294
0.485,0.360998
0.490,0.394376
0.495,0.428245
0.500,0.462425
0.505,0.496739
0.510,0.531014
0.515,0.565076
0.520,0.598746
0.525,0.631844
0.530,0.665490
0.535,0.700210
0.540,0.733998
0.545,0.766462
0.550,0.797234
0.555,0.825995
0.560,0.852483
0.565,0.876509
0.570,0.897966
0.575,0.916823
0.580,0.933129
0.585,0.946997
0.590,0.958594
0.595,0.968130
0.600,0.975837
0.605,0.981959
0.610,0.986738
0.615,0.990403
0.620,0.993166
0.625,0.995211
0.630,0.996698
0.635,0.997761
0.640,0.998506
0.645,0.999020
0.650,0.999368
0.655,0.999599
0.660,0.999750
0.665,0.999847
0.670,0.999908
0.675,0.999945
0.680,0.999968
0.685,0.999982
0.690,0.999990
0.695,0.999994
0.700,0.999997
0.705,0.999998
0.710,0.999999
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
