Vf,P2016
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000001
0.270,0.000002
0.275,0.000004
0.280,0.000007
0.285,0.000014
0.290,0.000025
0.295,0.000045
0.300,0.000079
0.305,0.000136
0.310,0.000230
0.315,0.000381
0.320,0.000617
0.325,0.000977
0.330,0.001517
0.335,0.002306
0.340,0.003434
0.345,0.005010
0.350,0.007162
0.355,0.010038
0.360,0.013792
0.365,0.018588
0.370,0.024576
0.375,0.031893
0.380,0.040637
0.385,0.050866
0.390,0.061826
0.395,0.071212
0.400,0.081403
0.405,0.092386
0.410,0.104140
0.415,0.116645
0.420,0.129882
0.425,0.143837
0.430,0.158505
0.435,0.173890
0.440,0.190011
0.445,0.206899
0.450,0.224599
0.455,0.243169
0.460,0.262674
0.465,0.283187
0.470,0.304785
0.475,0.327538
0.480,0.351510
0.485,0.376749
0.490,0.403281
0.495,0.431102
0.500,0.460177
0.505,0.490428
0.510,0.521734
0.515,0.553923
0.520,0.586781
0.525,0.620043
0.530,0.653410
0.535,0.686546
0.540,0.719099
0.545,0.750712
0.550,0.781036
0.555,0.809749
0.560,0.836572
0.565,0.861275
0.570,0.883697
0.575,0.903744
0.580,0.921389
0.585,0.936677
0.590,0.949708
0.595,0.960633
0.600,0.969639
0.605,0.976937
0.610,0.982750
0.615,0.987300
0.620,0.990798
0.625,0.993440
0.630,0.995400
0.635,0.996827
0.640,0.997849
0.645,0.998566
0.650,0.999060
0.655,0.999395
0.660,0.999617
0.665,0.999762
0.670,0.999854
0.675,0.999913
0.680,0.999948
0.685,0.999970
0.690,0.999983
0.695,0.999991
0.700,0.999995
0.705,0.999997
0.710,0.999999
0.715,0.999999
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
