Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.265,0.000001,0.000002,0.000001,0.000001,0.000000,0.000000,0.000001
0.270,0.000001,0.000003,0.000002,0.000001,0.000001,0.000000,0.000002
0.275,0.000002,0.000007,0.000004,0.000002,0.000002,0.000000,0.000003
0.280,0.000005,0.000012,0.000007,0.000004,0.000004,0.000000,0.000006
0.285,0.000009,0.000023,0.000014,0.000008,0.000007,0.000000,0.000012
0.290,0.000016,0.000042,0.000025,0.000015,0.000014,0.000001,0.000022
0.295,0.000029,0.000075,0.000045,0.000027,0.000025,0.000001,0.000040
0.300,0.000051,0.000131,0.000079,0.000048,0.000044,0.000003,0.000070
0.305,0.000090,0.000224,0.000136,0.000084,0.000078,0.000005,0.000122
0.310,0.000153,0.000373,0.000230,0.000144,0.000133,0.000009,0.000206
0.315,0.000255,0.000609,0.000381,0.000241,0.000224,0.000015,0.000342
0.320,0.000418,0.000972,0.000617,0.000395,0.000368,0.000027,0.000554
0.325,0.000670,0.001518,0.000977,0.000633,0.000594,0.000046,0.000881
0.330,0.001051,0.002321,0.001517,0.000996,0.000938,0.000077,0.001371
0.335,0.001617,0.003472,0.002306,0.001534,0.001453,0.000128,0.002090
0.340,0.002438,0.005087,0.003434,0.002317,0.002208,0.000207,0.003122
0.345,0.003602,0.007298,0.005010,0.003428,0.003082,0.000330,0.004568
0.350,0.005218,0.010255,0.007162,0.004974,0.004139,0.000518,0.006550
0.355,0.007410,0.014119,0.010038,0.007076,0.005500,0.000799,0.009207
0.360,0.010321,0.019048,0.013792,0.009872,0.007232,0.001212,0.012688
0.365,0.014102,0.025193,0.018588,0.013512,0.009411,0.001807,0.017146
0.370,0.018906,0.032676,0.024576,0.018146,0.012122,0.002651,0.022731
0.375,0.024881,0.041578,0.031893,0.023920,0.015459,0.003825,0.029572
0.380,0.032153,0.051925,0.040637,0.030961,0.019521,0.005431,0.037765
0.385,0.040817,0.063678,0.050866,0.039365,0.024412,0.007589,0.047366
0.390,0.050923,0.076727,0.061826,0.049186,0.030239,0.010438,0.058369
0.395,0.062473,0.090891,0.071212,0.060425,0.037111,0.014136,0.070712
0.400,0.075407,0.105929,0.081403,0.073027,0.045131,0.018854,0.084264
0.405,0.089610,0.121552,0.092386,0.086880,0.054398,0.024773,0.098839
0.410,0.104918,0.137452,0.104140,0.101819,0.065002,0.032078,0.114201
0.415,0.121125,0.153319,0.116645,0.117639,0.077020,0.040948,0.126128
0.420,0.136843,0.168873,0.129882,0.134111,0.090514,0.051549,0.138056
0.425,0.150072,0.183886,0.143837,0.151002,0.105529,0.064023,0.150320
0.430,0.163830,0.194460,0.158505,0.168095,0.122091,0.078484,0.162919
0.435,0.178136,0.205014,0.173890,0.185209,0.140207,0.095005,0.175878
0.440,0.193030,0.215704,0.190011,0.202089,0.159864,0.113618,0.189253
0.445,0.208572,0.226660,0.206899,0.215895,0.181028,0.134312,0.203132
0.450,0.224840,0.238044,0.224599,0.230292,0.203652,0.157028,0.217634
0.455,0.241929,0.250042,0.243169,0.245417,0.227669,0.181669,0.232906
0.460,0.259947,0.262861,0.262674,0.261418,0.253001,0.208102,0.249115
0.465,0.279006,0.276713,0.283187,0.278453,0.279562,0.236167,0.266447
0.470,0.299216,0.291816,0.304785,0.296680,0.307257,0.265682,0.285089
0.475,0.320683,0.308373,0.327538,0.316244,0.335985,0.296457,0.305221
0.480,0.343491,0.326569,0.351510,0.337271,0.365644,0.328294,0.327006
0.485,0.367705,0.346556,0.376749,0.359859,0.396128,0.360998,0.350572
