METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.418609,Vf,0.425066,Vf,0.388888,Vf,0.439811,Vf,0.341463,Vf,0.527866,Vf,0.410418
Sf,0.133256,Sf,0.184080,Sf,0.059849,Sf,0.201577,Sf,0.002486,Sf,0.650486,Sf,0.115513
EG,0.203962,EG,0.166052,EG,0.217927,EG,0.178045,EG,0.180440,EG,-0.094754,EG,0.205323
PR,0.285353,PR,0.240986,PR,0.329039,PR,0.238234,PR,0.338977,PR,-0.122620,PR,0.294905
GAMMA,0.110888,GAMMA,0.157452,GAMMA,0.196606,GAMMA,0.095224,GAMMA,0.469789,GAMMA,0.037033,GAMMA,0.170794
BS_50,0.051066,BS_50,0.081889,BS_50,0.039823,BS_50,0.062603,BS_50,0.008573,BS_50,0.037575,BS_50,0.067479
BV_50,0.008436,BV_50,0.013966,BV_50,0.006529,BV_50,0.010507,BV_50,0.001313,BV_50,0.005476,BV_50,0.010592
BS_V,-0.025683,BS_V,-0.032026,BS_V,-0.021575,BS_V,-0.009920,BS_V,-0.001030,BS_V,0.035027,BS_V,-0.031840
GS,0.012215,GS,0.019639,GS,0.011722,GS,0.013250,GS,0.003833,GS,0.009006,GS,0.015732
MM,0.014285,MM,0.022464,MM,0.012803,MM,0.016786,MM,-0.000010,MM,0.011253,MM,0.019504
LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.035527,LO,0.000000
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,4.505950,R,4.215983,R,3.961330,R,4.958095,R,3.138160,R,5.400349,R,4.292015
r,3.143537,r,2.114771,r,2.191891,r,3.376010,r,0.174886,r,6.729304,r,2.385449
Sb,0.133256,Sb,0.184080,Sb,0.059849,Sb,0.201577,Sb,0.002486,Sb,0.650486,Sb,0.115513
Ra,0.566628,Ra,0.592040,Ra,0.529924,Ra,0.600789,Ra,0.501243,Ra,0.825243,Ra,0.557756
Rb,0.066628,Rb,0.092040,Rb,0.029924,Rb,0.100789,Rb,0.001243,Rb,0.325243,Rb,0.057756
Va,0.598850,Va,0.603475,Va,0.620067,Va,0.586007,Va,0.661458,Va,0.503240,Va,0.606476
Vb,0.500000,Vb,0.480434,Vb,0.500000,Vb,0.483409,Vb,0.500000,Vb,0.461233,Vb,0.500000
L_Vf,0.395000,L_Vf,0.405000,L_Vf,0.365000,L_Vf,0.415000,L_Vf,0.320000,L_Vf,0.505000,L_Vf,0.390000
L_Sf,0.062473,L_Sf,0.121552,L_Sf,0.018588,L_Sf,0.117639,L_Sf,0.000368,L_Sf,0.496739,L_Sf,0.058369
U_Vf,0.440000,U_Vf,0.450000,U_Vf,0.410000,U_Vf,0.460000,U_Vf,0.365000,U_Vf,0.550000,U_Vf,0.435000
U_Sf,0.193030,U_Sf,0.238044,U_Sf,0.104140,U_Sf,0.261418,U_Sf,0.009411,U_Sf,0.797234,U_Sf,0.175878
