Vf,G2019
0.250,0.006616
0.255,0.010311
0.260,0.015448
0.265,0.022268
0.270,0.030918
0.275,0.041394
0.280,0.053510
0.285,0.066894
0.290,0.081013
0.295,0.095238
0.300,0.108925
0.305,0.121503
0.310,0.132541
0.315,0.141792
0.320,0.149198
0.325,0.154859
0.330,0.158992
0.335,0.161874
0.340,0.163793
0.345,0.165014
0.350,0.165756
0.355,0.166188
0.360,0.166429
0.365,0.166559
0.370,0.166630
0.375,0.166673
0.380,0.166704
0.385,0.166737
0.390,0.166780
0.395,0.166841
0.400,0.166928
0.405,0.167054
0.410,0.167232
0.415,0.167483
0.420,0.167830
0.425,0.168306
0.430,0.168947
0.435,0.169803
0.440,0.170929
0.445,0.172393
0.450,0.174273
0.455,0.176656
0.460,0.179642
0.465,0.183337
0.470,0.187856
0.475,0.193318
0.480,0.200415
0.485,0.209780
0.490,0.221117
0.495,0.234664
0.500,0.250639
0.505,0.269228
0.510,0.290572
0.515,0.314750
0.520,0.341769
0.525,0.371552
0.530,0.403935
0.535,0.438661
0.540,0.475383
0.545,0.513679
0.550,0.553059
0.555,0.592985
0.560,0.632897
0.565,0.672227
0.570,0.710430
0.575,0.747002
0.580,0.781499
0.585,0.813558
0.590,0.842899
0.595,0.869342
0.600,0.892798
0.605,0.913271
0.610,0.930848
0.615,0.945686
0.620,0.957996
0.625,0.968032
0.630,0.976066
0.635,0.982380
0.640,0.987250
0.645,0.990936
0.650,0.993671
0.655,0.995661
0.660,0.997081
0.665,0.998073
0.670,0.998752
0.675,0.999207
0.680,0.999506
0.685,0.999699
0.690,0.999820
0.695,0.999894
0.700,0.999939
0.705,0.999966
0.710,0.999981
0.715,0.999990
0.720,0.999995
0.725,0.999997
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
