Vf,S2016
0.250,0.064389
0.255,0.080364
0.260,0.096514
0.265,0.111900
0.270,0.125712
0.275,0.137398
0.280,0.146715
0.285,0.153715
0.290,0.158672
0.295,0.161979
0.300,0.164059
0.305,0.165291
0.310,0.165979
0.315,0.166342
0.320,0.166521
0.325,0.166606
0.330,0.166643
0.335,0.166659
0.340,0.166667
0.345,0.166672
0.350,0.166677
0.355,0.166684
0.360,0.166694
0.365,0.166711
0.370,0.166737
0.375,0.166778
0.380,0.166841
0.385,0.166935
0.390,0.167074
0.395,0.167277
0.400,0.167567
0.405,0.167978
0.410,0.168550
0.415,0.169334
0.420,0.170396
0.425,0.171811
0.430,0.173669
0.435,0.176076
0.440,0.179149
0.445,0.183016
0.450,0.187816
0.455,0.193691
0.460,0.200786
0.465,0.209238
0.470,0.219177
0.475,0.230713
0.480,0.243938
0.485,0.258916
0.490,0.275682
0.495,0.294243
0.500,0.314575
0.505,0.336630
0.510,0.360333
0.515,0.385594
0.520,0.412307
0.525,0.440358
0.530,0.469620
0.535,0.499959
0.540,0.531226
0.545,0.563254
0.550,0.595852
0.555,0.628799
0.560,0.661839
0.565,0.694679
0.570,0.727000
0.575,0.758455
0.580,0.788694
0.585,0.817374
0.590,0.844182
0.595,0.868854
0.600,0.891188
0.605,0.911061
0.610,0.928428
0.615,0.943326
0.620,0.955864
0.625,0.966213
0.630,0.974585
0.635,0.981223
0.640,0.986379
0.645,0.990302
0.650,0.993225
0.655,0.995356
0.660,0.996879
0.665,0.997943
0.670,0.998671
0.675,0.999158
0.680,0.999477
0.685,0.999682
0.690,0.999811
0.695,0.999889
0.700,0.999937
0.705,0.999965
0.710,0.999981
0.715,0.999990
0.720,0.999995
0.725,0.999997
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
