METRIC,composite,P2020,P2016,S2020,S2016,G2019,AG2019
Vf,0.390775,0.405356,0.398283,0.365809,0.369603,0.477699,0.337884
Sf,0.166735,0.166869,0.166913,0.166677,0.166735,0.196702,0.166667
EG,0.114815,0.143843,0.129653,0.064941,0.072471,0.258696,0.009101
PR,0.224040,0.238487,0.231370,0.199132,0.202868,0.280997,0.171217
GAMMA,0.332430,0.331103,0.331141,0.333143,0.332588,0.271644,0.333328
BS_50,0.237288,0.252336,0.234249,0.233908,0.185425,0.249361,0.218051
BV_50,0.040633,0.044535,0.043221,0.040107,0.035007,0.043214,0.033739
BS_V,-0.052671,-0.018004,-0.029000,-0.076994,-0.070924,0.223688,-0.082861
GS,0.091438,0.094595,0.092531,0.093064,0.082687,0.084668,0.089058
MM,0.057438,0.066573,0.064467,0.066617,0.044567,0.059121,0.049693
LO,0.074207,0.100446,0.094730,0.029169,0.024450,0.176570,-0.029560
DECL,48.537871,50.796453,50.017484,44.219153,44.049761,57.326955,38.536507
R,3.051182,3.519836,3.274647,2.483941,2.555775,13.600195,2.056141
r,0.007647,0.021434,0.019137,0.001338,0.005198,1.419385,0.000030
Sb,0.166735,0.166869,0.166913,0.166677,0.166735,0.196702,0.166667
Ra,0.583367,0.583434,0.583456,0.583339,0.583367,0.598351,0.583333
Rb,0.083367,0.083434,0.083456,0.083339,0.083367,0.098351,0.083333
Va,0.678758,0.667549,0.675029,0.704796,0.697525,0.586817,0.726386
Vb,0.247034,0.232005,0.230241,0.266035,0.278025,0.236613,0.303174
L_Vf,0.370000,0.385000,0.375000,0.345000,0.345000,0.455000,0.315000
L_Sf,0.166677,0.166704,0.166701,0.166668,0.166672,0.176656,0.166651
U_Vf,0.415000,0.430000,0.420000,0.390000,0.390000,0.500000,0.360000
U_Sf,0.167264,0.168187,0.168061,0.166781,0.167074,0.250639,0.166668
