METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.613854,0.671156,0.646524,0.666882,0.625206,0.332124,0.699581,0.606912,0.055894,0.092096,0.006942,0.011438,0.124199
Sf,0.960507,0.998462,0.987655,0.997862,0.961219,0.106439,0.999630,0.841878,0.147207,0.174856,0.118629,0.140910,0.805865
EG,-0.232799,-0.156150,-0.194607,-0.164098,-0.210807,0.057809,-0.100468,-0.128053,0.040279,-0.314549,-0.104746,0.817989,-2.600511
PR,-0.346653,-0.327306,-0.341131,-0.330980,-0.336013,0.225685,-0.300049,-0.234966,0.092315,-0.392887,-0.111687,0.475333,-1.209847
GAMMA,-0.277142,-0.479640,-0.392646,-0.473477,-0.267115,0.331655,-0.493819,-0.295840,0.130190,-0.440069,0.018698,-0.063203,0.143621
BS_50,0.074764,0.055810,0.078266,0.058780,0.083941,0.072552,0.043893,0.065540,0.006215,0.094828,0.009224,0.140738,1.484151
BV_50,0.012172,0.008891,0.012965,0.009254,0.013849,0.010354,0.006716,0.010338,0.001090,0.105436,0.001834,0.177404,1.682569
BS_V,-0.023051,-0.000974,-0.011351,-0.001734,-0.021603,-0.052946,0.000090,-0.014753,0.008360,-0.566664,-0.008298,0.562462,-0.992584
GS,0.018638,0.012773,0.019003,0.013757,0.020782,0.039298,0.009453,0.019178,0.004368,0.227761,-0.000540,-0.028157,-0.123626
MM,0.025416,0.026153,0.024786,0.024386,0.024777,0.017763,0.021056,0.023154,0.001282,0.055368,0.002262,0.097694,1.764431
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,4.044715,2.912325,3.328158,2.983320,3.683680,2.344358,2.503395,2.959206,0.204089,0.068967,1.085509,0.366824,5.318802
r,1.610529,0.109970,0.648420,0.146124,1.550279,0.368763,0.029116,0.475445,0.233652,0.491439,1.135084,2.387414,4.858011
Sb,0.960507,0.998462,0.987655,0.997862,0.961219,0.106439,0.999630,0.841878,0.147207,0.174856,0.118629,0.140910,0.805865
Ra,0.980253,0.999231,0.993828,0.998931,0.980609,0.553219,0.999815,0.920939,0.073604,0.079923,0.059314,0.064406,0.805853
Rb,0.480253,0.499231,0.493828,0.498931,0.480609,0.053219,0.499815,0.420939,0.073604,0.174857,0.059314,0.140909,0.805853
Va,0.500000,0.500000,0.500000,0.500000,0.500000,0.688413,0.500000,0.531402,0.031402,0.059093,-0.031402,-0.059093,-1.000000
Vb,0.376902,0.322809,0.346430,0.326736,0.363853,0.434644,0.294869,0.348224,0.019723,0.056639,0.028678,0.082355,1.454038
L_Vf,0.590000,0.650000,0.625000,0.645000,0.605000,0.310000,0.675000,0.585000,0.055842,0.095456,0.005000,0.008547,0.089538
L_Sf,0.910863,0.994714,0.970454,0.992884,0.929738,0.084929,0.998301,0.828503,0.149084,0.179944,0.082360,0.099408,0.552440
U_Vf,0.635000,0.695000,0.670000,0.690000,0.650000,0.355000,0.720000,0.630000,0.055842,0.088638,0.005000,0.007937,0.089538
U_Sf,0.987371,0.999840,0.997612,0.999734,0.989196,0.111422,0.999960,0.849627,0.147651,0.173783,0.137744,0.162123,0.932903
