Vf,AG2018
0.250,0.000000
0.255,0.000001
0.260,0.000001
0.265,0.000003
0.270,0.000005
0.275,0.000010
0.280,0.000019
0.285,0.000034
0.290,0.000060
0.295,0.000105
0.300,0.000178
0.305,0.000294
0.310,0.000477
0.315,0.000754
0.320,0.001165
0.325,0.001762
0.330,0.002604
0.335,0.003766
0.340,0.005329
0.345,0.007383
0.350,0.010017
0.355,0.013316
0.360,0.017353
0.365,0.022186
0.370,0.027843
0.375,0.034330
0.380,0.041622
0.385,0.049669
0.390,0.058404
0.395,0.067749
0.400,0.077630
0.405,0.087983
0.410,0.098772
0.415,0.109988
0.420,0.121660
0.425,0.133851
0.430,0.146658
0.435,0.160204
0.440,0.174629
0.445,0.190085
0.450,0.206721
0.455,0.224678
0.460,0.244082
0.465,0.265034
0.470,0.287605
0.475,0.311832
0.480,0.337710
0.485,0.365194
0.490,0.394189
0.495,0.424556
0.500,0.456107
0.505,0.488611
0.510,0.521799
0.515,0.555374
0.520,0.589015
0.525,0.622394
0.530,0.655187
0.535,0.687085
0.540,0.717803
0.545,0.747095
0.550,0.774757
0.555,0.800629
0.560,0.824605
0.565,0.846623
0.570,0.866669
0.575,0.884769
0.580,0.900980
0.585,0.915392
0.590,0.928110
0.595,0.939258
0.600,0.948964
0.605,0.957362
0.610,0.964583
0.615,0.970755
0.620,0.975997
0.625,0.980424
0.630,0.984138
0.635,0.987235
0.640,0.989799
0.645,0.991909
0.650,0.993631
0.655,0.995026
0.660,0.996148
0.665,0.997042
0.670,0.997748
0.675,0.998301
0.680,0.998730
0.685,0.999060
0.690,0.999311
0.695,0.999500
0.700,0.999645
0.705,0.999787
0.710,0.999875
0.715,0.999928
0.720,0.999960
0.725,0.999978
0.730,0.999988
0.735,0.999994
0.740,0.999997
0.745,0.999999
0.750,0.999999
