Vf,S2018
0.250,0.000008
0.255,0.000015
0.260,0.000029
0.265,0.000055
0.270,0.000100
0.275,0.000178
0.280,0.000308
0.285,0.000519
0.290,0.000849
0.295,0.001352
0.300,0.002096
0.305,0.003162
0.310,0.004647
0.315,0.006654
0.320,0.009287
0.325,0.012639
0.330,0.016784
0.335,0.021762
0.340,0.027569
0.345,0.034154
0.350,0.041416
0.355,0.049213
0.360,0.057372
0.365,0.065710
0.370,0.074053
0.375,0.082253
0.380,0.090209
0.385,0.097871
0.390,0.105247
0.395,0.112397
0.400,0.119424
0.405,0.126457
0.410,0.133642
0.415,0.141122
0.420,0.149035
0.425,0.157501
0.430,0.166627
0.435,0.176506
0.440,0.187225
0.445,0.198869
0.450,0.211528
0.455,0.225302
0.460,0.240300
0.465,0.256640
0.470,0.274439
0.475,0.293807
0.480,0.314837
0.485,0.337586
0.490,0.362073
0.495,0.388262
0.500,0.416059
0.505,0.445307
0.510,0.475790
0.515,0.507240
0.520,0.539342
0.525,0.571755
0.530,0.604119
0.535,0.636078
0.540,0.667290
0.545,0.697447
0.550,0.726280
0.555,0.753570
0.560,0.779155
0.565,0.802928
0.570,0.824833
0.575,0.844866
0.580,0.863065
0.585,0.879499
0.590,0.894265
0.595,0.907478
0.600,0.919260
0.605,0.929738
0.610,0.939035
0.615,0.947268
0.620,0.954547
0.625,0.960971
0.630,0.968723
0.635,0.975390
0.640,0.980957
0.645,0.985523
0.650,0.989196
0.655,0.992090
0.660,0.994323
0.665,0.996007
0.670,0.997250
0.675,0.998146
0.680,0.998777
0.685,0.999211
0.690,0.999502
0.695,0.999693
0.700,0.999815
0.705,0.999891
0.710,0.999937
0.715,0.999965
0.720,0.999981
0.725,0.999990
0.730,0.999995
0.735,0.999997
0.740,0.999999
0.745,0.999999
0.750,1.000000
