METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018
Vf,0.613854,0.671156,0.646524,0.666882,0.625206,0.332124,0.699581
Sf,0.960507,0.998462,0.987655,0.997862,0.961219,0.106439,0.999630
EG,-0.232799,-0.156150,-0.194607,-0.164098,-0.210807,0.057809,-0.100468
PR,-0.346653,-0.327306,-0.341131,-0.330980,-0.336013,0.225685,-0.300049
GAMMA,-0.277142,-0.479640,-0.392646,-0.473477,-0.267115,0.331655,-0.493819
BS_50,0.074764,0.055810,0.078266,0.058780,0.083941,0.072552,0.043893
BV_50,0.012172,0.008891,0.012965,0.009254,0.013849,0.010354,0.006716
BS_V,-0.023051,-0.000974,-0.011351,-0.001734,-0.021603,-0.052946,0.000090
GS,0.018638,0.012773,0.019003,0.013757,0.020782,0.039298,0.009453
MM,0.025416,0.026153,0.024786,0.024386,0.024777,0.017763,0.021056
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,4.044715,2.912325,3.328158,2.983320,3.683680,2.344358,2.503395
r,1.610529,0.109970,0.648420,0.146124,1.550279,0.368763,0.029116
Sb,0.960507,0.998462,0.987655,0.997862,0.961219,0.106439,0.999630
Ra,0.980253,0.999231,0.993828,0.998931,0.980609,0.553219,0.999815
Rb,0.480253,0.499231,0.493828,0.498931,0.480609,0.053219,0.499815
Va,0.500000,0.500000,0.500000,0.500000,0.500000,0.688413,0.500000
Vb,0.376902,0.322809,0.346430,0.326736,0.363853,0.434644,0.294869
L_Vf,0.590000,0.650000,0.625000,0.645000,0.605000,0.310000,0.675000
L_Sf,0.910863,0.994714,0.970454,0.992884,0.929738,0.084929,0.998301
U_Vf,0.635000,0.695000,0.670000,0.690000,0.650000,0.355000,0.720000
U_Sf,0.987371,0.999840,0.997612,0.999734,0.989196,0.111422,0.999960
