Vf,AG2018
0.250,0.000016
0.255,0.000031
0.260,0.000060
0.265,0.000111
0.270,0.000201
0.275,0.000352
0.280,0.000598
0.285,0.000990
0.290,0.001594
0.295,0.002496
0.300,0.003804
0.305,0.005646
0.310,0.008164
0.315,0.011510
0.320,0.015831
0.325,0.021261
0.330,0.027906
0.335,0.035834
0.340,0.045068
0.345,0.055588
0.350,0.067330
0.355,0.080198
0.360,0.094081
0.365,0.108856
0.370,0.124406
0.375,0.140618
0.380,0.157387
0.385,0.174606
0.390,0.192161
0.395,0.209917
0.400,0.227722
0.405,0.245400
0.410,0.262759
0.415,0.279610
0.420,0.295775
0.425,0.311108
0.430,0.325509
0.435,0.338933
0.440,0.351395
0.445,0.362965
0.450,0.373761
0.455,0.383938
0.460,0.393669
0.465,0.403133
0.470,0.412504
0.475,0.421937
0.480,0.431560
0.485,0.441479
0.490,0.451770
0.495,0.462484
0.500,0.473651
0.505,0.485287
0.510,0.497393
0.515,0.509963
0.520,0.522984
0.525,0.536437
0.530,0.550298
0.535,0.564539
0.540,0.579120
0.545,0.593998
0.550,0.609117
0.555,0.624412
0.560,0.639807
0.565,0.655218
0.570,0.670555
0.575,0.685721
0.580,0.700622
0.585,0.715161
0.590,0.729248
0.595,0.742803
0.600,0.755752
0.605,0.768037
0.610,0.779610
0.615,0.790440
0.620,0.800507
0.625,0.809807
0.630,0.818347
0.635,0.826145
0.640,0.833229
0.645,0.839638
0.650,0.846348
0.655,0.854664
0.660,0.862292
0.665,0.869561
0.670,0.876823
0.675,0.884412
0.680,0.892592
0.685,0.901524
0.690,0.911228
0.695,0.921577
0.700,0.932309
0.705,0.943064
0.710,0.953442
0.715,0.963063
0.720,0.971619
0.725,0.978911
0.730,0.984866
0.735,0.989522
0.740,0.993008
0.745,0.995507
0.750,0.997221
