Vf,G2018
0.250,0.002394
0.255,0.003908
0.260,0.006144
0.265,0.009306
0.270,0.013592
0.275,0.019163
0.280,0.026111
0.285,0.034430
0.290,0.044005
0.295,0.054618
0.300,0.065974
0.305,0.077748
0.310,0.089638
0.315,0.101412
0.320,0.112945
0.325,0.124228
0.330,0.135359
0.335,0.146503
0.340,0.157853
0.345,0.169587
0.350,0.181828
0.355,0.194625
0.360,0.207945
0.365,0.221684
0.370,0.235683
0.375,0.249748
0.380,0.263673
0.385,0.277262
0.390,0.290338
0.395,0.302755
0.400,0.314405
0.405,0.325220
0.410,0.335172
0.415,0.344271
0.420,0.352564
0.425,0.360131
0.430,0.367076
0.435,0.373525
0.440,0.379612
0.445,0.384437
0.450,0.389466
0.455,0.394756
0.460,0.400334
0.465,0.406217
0.470,0.412417
0.475,0.418941
0.480,0.425794
0.485,0.432989
0.490,0.440552
0.495,0.448523
0.500,0.456969
0.505,0.465980
0.510,0.475674
0.515,0.486191
0.520,0.497684
0.525,0.510310
0.530,0.524214
0.535,0.539509
0.540,0.556261
0.545,0.574473
0.550,0.594075
0.555,0.614916
0.560,0.636772
0.565,0.659355
0.570,0.682333
0.575,0.705354
0.580,0.728078
0.585,0.750200
0.590,0.771475
0.595,0.791733
0.600,0.810883
0.605,0.828910
0.610,0.845859
0.615,0.861811
0.620,0.876860
0.625,0.891091
0.630,0.904556
0.635,0.917270
0.640,0.929203
0.645,0.940296
0.650,0.950467
0.655,0.959636
0.660,0.967739
0.665,0.974743
0.670,0.980652
0.675,0.985512
0.680,0.989404
0.685,0.992438
0.690,0.994736
0.695,0.996428
0.700,0.997638
0.705,0.998479
0.710,0.999047
0.715,0.999418
0.720,0.999655
0.725,0.999801
0.730,0.999888
0.735,0.999939
0.740,0.999968
0.745,0.999983
0.750,0.999992
