Vf,P2016
0.250,0.000031
0.255,0.000060
0.260,0.000113
0.265,0.000207
0.270,0.000366
0.275,0.000628
0.280,0.001048
0.285,0.001698
0.290,0.002675
0.295,0.004098
0.300,0.006108
0.305,0.008864
0.310,0.012531
0.315,0.017273
0.320,0.023236
0.325,0.030534
0.330,0.039239
0.335,0.049376
0.340,0.060918
0.345,0.073793
0.350,0.087895
0.355,0.103091
0.360,0.119238
0.365,0.136185
0.370,0.153776
0.375,0.171850
0.380,0.190232
0.385,0.208730
0.390,0.227127
0.395,0.245191
0.400,0.262675
0.405,0.279338
0.410,0.294961
0.415,0.309365
0.420,0.322429
0.425,0.334099
0.430,0.344397
0.435,0.353411
0.440,0.361292
0.445,0.368235
0.450,0.374470
0.455,0.380236
0.460,0.385776
0.465,0.391317
0.470,0.397065
0.475,0.403199
0.480,0.409867
0.485,0.417182
0.490,0.425231
0.495,0.434067
0.500,0.443720
0.505,0.454193
0.510,0.465470
0.515,0.477516
0.520,0.490279
0.525,0.503697
0.530,0.517696
0.535,0.532194
0.540,0.547103
0.545,0.562330
0.550,0.577783
0.555,0.593366
0.560,0.608984
0.565,0.624545
0.570,0.639961
0.575,0.655147
0.580,0.670027
0.585,0.684528
0.590,0.698589
0.595,0.712155
0.600,0.725182
0.605,0.737634
0.610,0.749484
0.615,0.760714
0.620,0.771316
0.625,0.781285
0.630,0.790626
0.635,0.799345
0.640,0.807457
0.645,0.819268
0.650,0.830075
0.655,0.839760
0.660,0.848431
0.665,0.856279
0.670,0.863570
0.675,0.870632
0.680,0.877815
0.685,0.885451
0.690,0.893803
0.695,0.903011
0.700,0.913063
0.705,0.923784
0.710,0.934855
0.715,0.945864
0.720,0.956369
0.725,0.965968
0.730,0.974356
0.735,0.981362
0.740,0.986952
0.745,0.991211
0.750,0.994309
