Vf,S2018
0.250,0.000004
0.255,0.000009
0.260,0.000018
0.265,0.000034
0.270,0.000063
0.275,0.000115
0.280,0.000203
0.285,0.000350
0.290,0.000587
0.295,0.000961
0.300,0.001533
0.305,0.002385
0.310,0.003619
0.315,0.005361
0.320,0.007753
0.325,0.010954
0.330,0.015131
0.335,0.020445
0.340,0.027045
0.345,0.035051
0.350,0.044545
0.355,0.055564
0.360,0.068093
0.365,0.082064
0.370,0.097365
0.375,0.113838
0.380,0.131295
0.385,0.149523
0.390,0.168293
0.395,0.187366
0.400,0.206505
0.405,0.225477
0.410,0.244061
0.415,0.262057
0.420,0.279293
0.425,0.295637
0.430,0.311001
0.435,0.325347
0.440,0.338694
0.445,0.351110
0.450,0.362713
0.455,0.373659
0.460,0.384130
0.465,0.394324
0.470,0.404438
0.475,0.414662
0.480,0.425163
0.485,0.436084
0.490,0.447535
0.495,0.459592
0.500,0.472300
0.505,0.485672
0.510,0.499695
0.515,0.514331
0.520,0.529523
0.525,0.545197
0.530,0.561268
0.535,0.577642
0.540,0.594216
0.545,0.610887
0.550,0.627549
0.555,0.644096
0.560,0.660426
0.565,0.676441
0.570,0.692052
0.575,0.707175
0.580,0.721739
0.585,0.735683
0.590,0.748959
0.595,0.761531
0.600,0.773374
0.605,0.784478
0.610,0.794842
0.615,0.804475
0.620,0.813397
0.625,0.821634
0.630,0.829221
0.635,0.836197
0.640,0.842606
0.645,0.848495
0.650,0.853916
0.655,0.858919
0.660,0.863559
0.665,0.867889
0.670,0.871960
0.675,0.875826
0.680,0.879534
0.685,0.886207
0.690,0.894840
0.695,0.904303
0.700,0.914556
0.705,0.925405
0.710,0.936519
0.715,0.947485
0.720,0.957870
0.725,0.967291
0.730,0.975468
0.735,0.982253
0.740,0.987632
0.745,0.991706
0.750,0.994653
