Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.250000,0.000061,0.000051,0.000199,0.000074,0.000027,0.000019,0.000096,0.000078,0.000027,0.346154,-0.000017,-0.217949,-0.629630
0.255000,0.000117,0.000098,0.000364,0.000140,0.000052,0.000038,0.000180,0.000145,0.000049,0.337931,-0.000028,-0.193103,-0.571429
0.260000,0.000216,0.000182,0.000645,0.000258,0.000098,0.000072,0.000327,0.000264,0.000086,0.325758,-0.000048,-0.181818,-0.558140
0.265000,0.000386,0.000329,0.001106,0.000459,0.000181,0.000133,0.000577,0.000464,0.000145,0.312500,-0.000078,-0.168103,-0.537931
0.270000,0.000671,0.000574,0.001836,0.000792,0.000322,0.000240,0.000986,0.000792,0.000238,0.300505,-0.000121,-0.152778,-0.508403
0.275000,0.001129,0.000973,0.002951,0.001326,0.000557,0.000419,0.001633,0.001310,0.000377,0.287786,-0.000181,-0.138168,-0.480106
0.280000,0.001844,0.001601,0.004595,0.002152,0.000936,0.000711,0.002622,0.002103,0.000578,0.274845,-0.000259,-0.123157,-0.448097
0.285000,0.002922,0.002556,0.006934,0.003388,0.001528,0.001173,0.004084,0.003277,0.000857,0.261520,-0.000355,-0.108331,-0.414236
0.290000,0.004495,0.003964,0.010145,0.005178,0.002424,0.001881,0.006172,0.004961,0.001229,0.247732,-0.000466,-0.093933,-0.379170
0.295000,0.006717,0.005970,0.014403,0.007683,0.003738,0.002933,0.009054,0.007297,0.001705,0.233658,-0.000580,-0.079485,-0.340176
0.300000,0.009751,0.008738,0.019852,0.011073,0.005604,0.004449,0.012901,0.010436,0.002289,0.219337,-0.000685,-0.065638,-0.299257
0.305000,0.013761,0.012434,0.026587,0.015510,0.008173,0.006567,0.017863,0.014522,0.002976,0.204930,-0.000761,-0.052403,-0.255712
0.310000,0.018889,0.017215,0.034627,0.021128,0.011601,0.009436,0.024053,0.019677,0.003746,0.190375,-0.000788,-0.040047,-0.210358
0.315000,0.025237,0.023200,0.043899,0.028009,0.016032,0.013204,0.031519,0.025977,0.004567,0.175809,-0.000740,-0.028487,-0.162032
0.320000,0.032843,0.030461,0.054234,0.036165,0.021586,0.018006,0.040232,0.033447,0.005396,0.161330,-0.000604,-0.018058,-0.111935
0.325000,0.041668,0.038996,0.065374,0.045520,0.028333,0.023939,0.050071,0.042039,0.006180,0.147006,-0.000371,-0.008825,-0.060032
0.330000,0.051588,0.048723,0.076994,0.055913,0.036281,0.031055,0.060827,0.051632,0.006864,0.132941,-0.000044,-0.000852,-0.006410
0.335000,0.062398,0.059483,0.088739,0.067102,0.045366,0.039336,0.072219,0.062041,0.007398,0.119244,0.000357,0.005754,0.048256
0.340000,0.073829,0.071044,0.100262,0.078789,0.055443,0.048695,0.083925,0.073026,0.007744,0.106044,0.000803,0.010996,0.103693
0.345000,0.085572,0.083132,0.111264,0.090651,0.066300,0.058972,0.095612,0.084322,0.007879,0.093439,0.001250,0.014824,0.158650
0.350000,0.097317,0.095456,0.121527,0.102374,0.077676,0.069948,0.106976,0.095659,0.007803,0.081571,0.001658,0.017332,0.212482
0.355000,0.108785,0.107745,0.130936,0.113695,0.089283,0.081361,0.117778,0.106800,0.007540,0.070599,0.001985,0.018586,0.263263
0.360000,0.119760,0.119776,0.139481,0.124426,0.100841,0.092940,0.127869,0.117555,0.007129,0.060644,0.002205,0.018757,0.309300
0.365000,0.130109,0.131398,0.147250,0.134474,0.112110,0.104428,0.137196,0.127809,0.006624,0.051827,0.002300,0.017996,0.347222
0.370000,0.139795,0.142541,0.154406,0.143844,0.122911,0.115614,0.145805,0.137520,0.006089,0.044277,0.002275,0.016543,0.373625
0.375000,0.148867,0.153219,0.161163,0.152624,0.133147,0.126354,0.153823,0.146722,0.005583,0.038052,0.002145,0.014619,0.384202
0.380000,0.157448,0.163511,0.167751,0.160973,0.142805,0.136581,0.161430,0.155508,0.005159,0.033175,0.001940,0.012475,0.376042
0.385000,0.165710,0.173541,0.174395,0.169086,0.151951,0.146310,0.168840,0.164020,0.004853,0.029588,0.001690,0.010304,0.348238
0.390000,0.173848,0.183456,0.181288,0.177171,0.160713,0.155628,0.176262,0.172420,0.004679,0.027137,0.001428,0.008282,0.305193
0.395000,0.182053,0.193401,0.188580,0.185422,0.169262,0.164675,0.183885,0.180871,0.004631,0.025604,0.001182,0.006535,0.255236
0.400000,0.190495,0.203501,0.196371,0.194002,0.177786,0.173625,0.191860,0.189524,0.004684,0.024715,0.000971,0.005123,0.207301
0.405000,0.199304,0.213845,0.204712,0.203031,0.186467,0.182664,0.200289,0.198501,0.004807,0.024217,0.000803,0.004045,0.167048
0.410000,0.208570,0.224490,0.213610,0.212583,0.195467,0.191969,0.209224,0.207891,0.004966,0.023888,0.000679,0.003266,0.136730
0.415000,0.218339,0.235456,0.223036,0.222693,0.204915,0.201693,0.218676,0.217745,0.005129,0.023555,0.000594,0.002728,0.115812
0.420000,0.228623,0.246739,0.232942,0.233361,0.214903,0.211957,0.228620,0.228087,0.005271,0.023110,0.000536,0.002350,0.101688
0.425000,0.239408,0.258321,0.243266,0.244564,0.225484,0.222843,0.239011,0.238915,0.005373,0.022489,0.000493,0.002063,0.091755
0.430000,0.250666,0.270177,0.253948,0.256271,0.236683,0.234400,0.249794,0.250212,0.005424,0.021678,0.000454,0.001814,0.083702
0.435000,0.262366,0.282292,0.264939,0.268448,0.248498,0.246648,0.260917,0.261957,0.005419,0.020687,0.000409,0.001561,0.075475
0.440000,0.274483,0.294660,0.276206,0.281072,0.260917,0.259584,0.272339,0.274130,0.005365,0.019571,0.000353,0.001288,0.065797
