Vf,P2016
0.250,0.000199
0.255,0.000364
0.260,0.000645
0.265,0.001106
0.270,0.001836
0.275,0.002951
0.280,0.004595
0.285,0.006934
0.290,0.010145
0.295,0.014403
0.300,0.019852
0.305,0.026587
0.310,0.034627
0.315,0.043899
0.320,0.054234
0.325,0.065374
0.330,0.076994
0.335,0.088739
0.340,0.100262
0.345,0.111264
0.350,0.121527
0.355,0.130936
0.360,0.139481
0.365,0.147250
0.370,0.154406
0.375,0.161163
0.380,0.167751
0.385,0.174395
0.390,0.181288
0.395,0.188580
0.400,0.196371
0.405,0.204712
0.410,0.213610
0.415,0.223036
0.420,0.232942
0.425,0.243266
0.430,0.253948
0.435,0.264939
0.440,0.276206
0.445,0.287738
0.450,0.299544
0.455,0.311655
0.460,0.324115
0.465,0.336975
0.470,0.350287
0.475,0.364095
0.480,0.378429
0.485,0.393294
0.490,0.408674
0.495,0.424521
0.500,0.440905
0.505,0.458251
0.510,0.476089
0.515,0.494260
0.520,0.512598
0.525,0.530945
0.530,0.549156
0.535,0.567119
0.540,0.584757
0.545,0.602041
0.550,0.618991
0.555,0.635678
0.560,0.652217
0.565,0.668756
0.570,0.685461
0.575,0.702498
0.580,0.720009
0.585,0.738095
0.590,0.756798
0.595,0.776084
0.600,0.795842
0.605,0.815884
0.610,0.835959
0.615,0.855764
0.620,0.874974
0.625,0.893265
0.630,0.910342
0.635,0.925957
0.640,0.939933
0.645,0.952168
0.650,0.962636
0.655,0.971389
0.660,0.978535
0.665,0.984232
0.670,0.988664
0.675,0.992028
0.680,0.994518
0.685,0.996316
0.690,0.997581
0.695,0.998448
0.700,0.999028
0.705,0.999406
0.710,0.999646
0.715,0.999794
0.720,0.999883
0.725,0.999935
0.730,0.999965
0.735,0.999982
0.740,0.999991
0.745,0.999995
0.750,0.999998
