Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018
0.250,0.000061,0.000051,0.000199,0.000074,0.000027,0.000019,0.000096
0.255,0.000117,0.000098,0.000364,0.000140,0.000052,0.000038,0.000180
0.260,0.000216,0.000182,0.000645,0.000258,0.000098,0.000072,0.000327
0.265,0.000386,0.000329,0.001106,0.000459,0.000181,0.000133,0.000577
0.270,0.000671,0.000574,0.001836,0.000792,0.000322,0.000240,0.000986
0.275,0.001129,0.000973,0.002951,0.001326,0.000557,0.000419,0.001633
0.280,0.001844,0.001601,0.004595,0.002152,0.000936,0.000711,0.002622
0.285,0.002922,0.002556,0.006934,0.003388,0.001528,0.001173,0.004084
0.290,0.004495,0.003964,0.010145,0.005178,0.002424,0.001881,0.006172
0.295,0.006717,0.005970,0.014403,0.007683,0.003738,0.002933,0.009054
0.300,0.009751,0.008738,0.019852,0.011073,0.005604,0.004449,0.012901
0.305,0.013761,0.012434,0.026587,0.015510,0.008173,0.006567,0.017863
0.310,0.018889,0.017215,0.034627,0.021128,0.011601,0.009436,0.024053
0.315,0.025237,0.023200,0.043899,0.028009,0.016032,0.013204,0.031519
0.320,0.032843,0.030461,0.054234,0.036165,0.021586,0.018006,0.040232
0.325,0.041668,0.038996,0.065374,0.045520,0.028333,0.023939,0.050071
0.330,0.051588,0.048723,0.076994,0.055913,0.036281,0.031055,0.060827
0.335,0.062398,0.059483,0.088739,0.067102,0.045366,0.039336,0.072219
0.340,0.073829,0.071044,0.100262,0.078789,0.055443,0.048695,0.083925
0.345,0.085572,0.083132,0.111264,0.090651,0.066300,0.058972,0.095612
0.350,0.097317,0.095456,0.121527,0.102374,0.077676,0.069948,0.106976
0.355,0.108785,0.107745,0.130936,0.113695,0.089283,0.081361,0.117778
0.360,0.119760,0.119776,0.139481,0.124426,0.100841,0.092940,0.127869
0.365,0.130109,0.131398,0.147250,0.134474,0.112110,0.104428,0.137196
0.370,0.139795,0.142541,0.154406,0.143844,0.122911,0.115614,0.145805
0.375,0.148867,0.153219,0.161163,0.152624,0.133147,0.126354,0.153823
0.380,0.157448,0.163511,0.167751,0.160973,0.142805,0.136581,0.161430
0.385,0.165710,0.173541,0.174395,0.169086,0.151951,0.146310,0.168840
0.390,0.173848,0.183456,0.181288,0.177171,0.160713,0.155628,0.176262
0.395,0.182053,0.193401,0.188580,0.185422,0.169262,0.164675,0.183885
0.400,0.190495,0.203501,0.196371,0.194002,0.177786,0.173625,0.191860
0.405,0.199304,0.213845,0.204712,0.203031,0.186467,0.182664,0.200289
0.410,0.208570,0.224490,0.213610,0.212583,0.195467,0.191969,0.209224
0.415,0.218339,0.235456,0.223036,0.222693,0.204915,0.201693,0.218676
0.420,0.228623,0.246739,0.232942,0.233361,0.214903,0.211957,0.228620
0.425,0.239408,0.258321,0.243266,0.244564,0.225484,0.222843,0.239011
0.430,0.250666,0.270177,0.253948,0.256271,0.236683,0.234400,0.249794
0.435,0.262366,0.282292,0.264939,0.268448,0.248498,0.246648,0.260917
0.440,0.274483,0.294660,0.276206,0.281072,0.260917,0.259584,0.272339
0.445,0.287007,0.307293,0.287738,0.294129,0.273918,0.273190,0.284040
0.450,0.299940,0.320218,0.299544,0.307621,0.287478,0.287441,0.296020
0.455,0.313300,0.333476,0.311655,0.321560,0.301581,0.302306,0.308301
0.460,0.327116,0.347114,0.324115,0.335966,0.316212,0.317755,0.320924
0.465,0.341421,0.361180,0.336975,0.350857,0.331359,0.333754,0.333937
0.470,0.356244,0.375713,0.350287,0.366242,0.347010,0.350270,0.347393
0.475,0.371603,0.390738,0.364095,0.382117,0.363146,0.367259,0.361338
0.480,0.387496,0.406258,0.378429,0.398456,0.379741,0.384669,0.375803
0.485,0.403898,0.422251,0.393294,0.415204,0.396752,0.402435,0.390794
0.490,0.420755,0.438670,0.408674,0.432285,0.414118,0.420478,0.406295
0.495,0.437984,0.455436,0.424521,0.449593,0.431762,0.438703,0.422255
0.500,0.455474,0.472447,0.440905,0.467003,0.449587,0.457002,0.438596
0.505,0.473095,0.489580,0.458251,0.484374,0.467486,0.475256,0.455216
0.510,0.490698,0.506695,0.476089,0.501684,0.485340,0.493343,0.471989
0.515,0.508129,0.523773,0.494260,0.519174,0.503026,0.511141,0.488870
0.520,0.525487,0.541293,0.512598,0.536508,0.520428,0.528536,0.506775
0.525,0.543267,0.558556,0.530945,0.553585,0.537438,0.545429,0.524758
0.530,0.560765,0.575420,0.549156,0.570338,0.553966,0.561739,0.542726
0.535,0.577913,0.591778,0.567119,0.586737,0.570609,0.577409,0.560617
0.540,0.594687,0.607567,0.584757,0.602793,0.588206,0.592408,0.578410
0.545,0.611111,0.622781,0.602041,0.618557,0.605794,0.606730,0.596123
0.550,0.627254,0.637466,0.618991,0.634122,0.623461,0.620752,0.613813
0.555,0.643232,0.651727,0.635678,0.649612,0.641314,0.636683,0.631569
0.560,0.659190,0.665715,0.652217,0.665177,0.659475,0.652836,0.649506
0.565,0.675300,0.679623,0.668756,0.680980,0.678066,0.669380,0.667746
0.570,0.691735,0.693665,0.685461,0.697182,0.697186,0.686478,0.686409
0.575,0.708657,0.708061,0.702498,0.713924,0.716899,0.704262,0.705587
0.580,0.726195,0.723014,0.720009,0.731313,0.737219,0.722823,0.725337
0.585,0.744423,0.738687,0.738095,0.749403,0.758094,0.742185,0.745657
0.590,0.763348,0.755185,0.756798,0.768180,0.779401,0.762298,0.766482
0.595,0.782900,0.772536,0.776084,0.787556,0.800949,0.783029,0.787674
0.600,0.802924,0.790681,0.795842,0.807369,0.822482,0.804163,0.809029
0.605,0.823193,0.809472,0.815884,0.827385,0.843697,0.825415,0.830283
