METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018
Vf,0.518684,0.514135,0.498823,0.508587,0.533186,0.549283,0.514567
Sf,0.520773,0.520728,0.436910,0.496730,0.564211,0.618476,0.487327
EG,0.016595,0.007542,0.060736,0.020444,0.002161,-0.019910,0.041807
PR,-0.002089,-0.006593,0.061913,0.011857,-0.031025,-0.069193,0.027240
GAMMA,0.044090,0.027552,0.059234,0.032998,0.046254,0.019729,0.061854
BS_50,0.044526,0.027553,0.059095,0.032997,0.050413,0.042998,0.061404
BV_50,0.012668,0.008044,0.016565,0.009513,0.014144,0.011870,0.018108
BS_V,0.043634,0.027045,0.058982,0.033016,0.049196,0.045843,0.060228
GS,0.021196,0.014678,0.026431,0.019189,0.022141,0.020285,0.026504
MM,0.010317,0.009316,0.018953,0.005155,0.012152,0.005950,0.016734
LO,0.038159,0.030147,0.029340,0.028980,0.052676,0.065064,0.042409
DECL,6.094134,4.375146,10.911106,6.031825,6.355977,5.107033,9.411732
R,1.111804,1.466441,53.602634,-0.380824,1.934896,2.403997,-0.870003
r,3.471564,3.415661,3.276719,3.461977,3.328676,2.804312,3.376173
Sb,0.520773,0.520728,0.436910,0.496730,0.564211,0.618476,0.487327
Ra,0.760386,0.760364,0.718455,0.748365,0.782106,0.809238,0.743663
Rb,0.260386,0.260364,0.218455,0.248365,0.282106,0.309238,0.243663
Va,0.575438,0.583328,0.589481,0.581715,0.560300,0.555248,0.575447
Vb,0.386404,0.386524,0.381179,0.389305,0.387024,0.379689,0.382143
L_Vf,0.495000,0.490000,0.475000,0.485000,0.510000,0.525000,0.490000
L_Sf,0.437984,0.438670,0.364095,0.415204,0.485340,0.545429,0.406295
U_Vf,0.540000,0.535000,0.520000,0.530000,0.555000,0.570000,0.535000
U_Sf,0.594687,0.591778,0.512598,0.570338,0.641314,0.686478,0.560617
