METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.544809,0.536396,0.508318,0.528398,0.624817,0.559296,0.520615,0.546307,0.017180,0.031448,-0.001498,-0.002742,-0.087194
Sf,0.537302,0.502889,0.430776,0.490718,0.851333,0.623655,0.442154,0.556921,0.065197,0.117067,-0.019619,-0.035228,-0.300919
EG,0.052316,0.069903,0.085860,0.066078,-0.101699,-0.005063,0.099076,0.035693,0.031180,0.873561,0.016623,0.465722,0.533130
PR,0.007507,0.033507,0.077542,0.037680,-0.226516,-0.064359,0.078461,-0.010614,0.048127,-4.534294,0.018121,-1.707273,0.376525
GAMMA,0.093194,0.076233,0.086707,0.082662,-0.026399,0.089282,0.136878,0.074227,0.021991,0.296267,0.018967,0.255527,0.862489
BS_50,0.086971,0.063253,0.086223,0.077157,0.084216,0.102091,0.122830,0.089295,0.008464,0.094787,-0.002324,-0.026026,-0.274575
BV_50,0.031785,0.034809,0.035230,0.031547,0.022177,0.026758,0.034837,0.030893,0.002185,0.070728,0.000892,0.028874,0.408238
BS_V,0.078515,0.066332,0.086114,0.075809,0.032125,0.063611,0.116904,0.073483,0.011416,0.155356,0.005032,0.068478,0.440785
GS,0.031565,0.027510,0.035066,0.030027,0.031980,0.031326,0.039708,0.032603,0.001743,0.053461,-0.001038,-0.031838,-0.595525
MM,0.041897,0.041583,0.045983,0.038265,0.035373,0.033703,0.041024,0.039322,0.001832,0.046590,0.002575,0.065485,1.405568
LO,0.071108,0.071997,0.051712,0.062985,0.142322,0.068089,0.056421,0.075588,0.013686,0.181060,-0.004480,-0.059269,-0.327342
DECL,11.075515,13.014782,15.800941,12.827732,18.250777,5.442224,15.677301,13.502293,1.809419,0.134008,-2.426778,-0.179731,-1.341192
R,0.832472,0.079373,-8.322203,-0.326853,2.814786,2.085381,-2.806028,-1.079257,1.658604,-1.536802,1.911729,-1.771338,1.152613
r,2.912282,2.173916,2.101836,2.583978,2.603286,3.591085,3.833718,2.814637,0.297651,0.105751,0.097645,0.034692,0.328052
Sb,0.537302,0.502889,0.430776,0.490718,0.851333,0.623655,0.442154,0.556921,0.065197,0.117067,-0.019619,-0.035228,-0.300919
Ra,0.768651,0.751444,0.715388,0.745359,0.925667,0.811827,0.721077,0.778460,0.032598,0.041875,-0.009809,-0.012601,-0.300908
Rb,0.268651,0.251444,0.215388,0.245359,0.425667,0.311827,0.221077,0.278460,0.032598,0.117065,-0.009809,-0.035226,-0.300908
Va,0.566663,0.587013,0.599536,0.578783,0.500364,0.553406,0.571633,0.565122,0.014403,0.025487,0.001541,0.002727,0.106992
Vb,0.362229,0.340991,0.348752,0.358232,0.357314,0.378505,0.371945,0.359290,0.005716,0.015909,0.002939,0.008180,0.514171
L_Vf,0.520000,0.515000,0.485000,0.505000,0.600000,0.535000,0.500000,0.523333,0.016766,0.032037,-0.003333,-0.006369,-0.198795
L_Sf,0.467023,0.464341,0.383186,0.434617,0.783094,0.532769,0.377170,0.495863,0.062019,0.125073,-0.028840,-0.058161,-0.465019
U_Vf,0.565000,0.560000,0.530000,0.550000,0.645000,0.580000,0.545000,0.568333,0.016766,0.029500,-0.003333,-0.005865,-0.198795
U_Sf,0.615036,0.568475,0.484701,0.560919,0.923614,0.704495,0.544589,0.631132,0.065502,0.103785,-0.016096,-0.025503,-0.245733
