Vf,AG2018
0.250,0.000168
0.255,0.000308
0.260,0.000548
0.265,0.000941
0.270,0.001564
0.275,0.002518
0.280,0.003926
0.285,0.005930
0.290,0.008685
0.295,0.012338
0.300,0.017015
0.305,0.022795
0.310,0.029694
0.315,0.037651
0.320,0.046526
0.325,0.056107
0.330,0.066137
0.335,0.076340
0.340,0.086456
0.345,0.096278
0.350,0.105673
0.355,0.114589
0.360,0.123060
0.365,0.131179
0.370,0.139083
0.375,0.146917
0.380,0.154811
0.385,0.162857
0.390,0.171100
0.395,0.179536
0.400,0.188116
0.405,0.196761
0.410,0.205378
0.415,0.213880
0.420,0.222198
0.425,0.230296
0.430,0.238174
0.435,0.245874
0.440,0.253474
0.445,0.261082
0.450,0.268825
0.455,0.276838
0.460,0.285255
0.465,0.294198
0.470,0.303771
0.475,0.314054
0.480,0.325102
0.485,0.336943
0.490,0.349583
0.495,0.363004
0.500,0.377170
0.505,0.392029
0.510,0.407519
0.515,0.423567
0.520,0.440092
0.525,0.459261
0.530,0.479592
0.535,0.500686
0.540,0.522401
0.545,0.544589
0.550,0.567096
0.555,0.589784
0.560,0.612531
0.565,0.635246
0.570,0.657867
0.575,0.680365
0.580,0.702734
0.585,0.724981
0.590,0.747108
0.595,0.769099
0.600,0.790902
0.605,0.812421
0.610,0.833512
0.615,0.853985
0.620,0.873618
0.625,0.892174
0.630,0.909423
0.635,0.925166
0.640,0.939251
0.645,0.951589
0.650,0.962159
0.655,0.971009
0.660,0.978245
0.665,0.984020
0.670,0.988516
0.675,0.991930
0.680,0.994457
0.685,0.996280
0.690,0.997562
0.695,0.998439
0.700,0.999025
0.705,0.999406
0.710,0.999646
0.715,0.999795
0.720,0.999884
0.725,0.999936
0.730,0.999966
0.735,0.999982
0.740,0.999991
0.745,0.999995
0.750,0.999998
