Vf,G2018
0.250,0.000041
0.255,0.000079
0.260,0.000147
0.265,0.000265
0.270,0.000463
0.275,0.000786
0.280,0.001294
0.285,0.002068
0.290,0.003208
0.295,0.004836
0.300,0.007083
0.305,0.010089
0.310,0.013980
0.315,0.018861
0.320,0.024791
0.325,0.031778
0.330,0.039762
0.335,0.048624
0.340,0.058187
0.345,0.068240
0.350,0.078561
0.355,0.088942
0.360,0.099211
0.365,0.109254
0.370,0.119016
0.375,0.128500
0.380,0.137755
0.385,0.146856
0.390,0.155886
0.395,0.164914
0.400,0.173988
0.405,0.183128
0.410,0.192325
0.415,0.201552
0.420,0.210777
0.425,0.219971
0.430,0.229128
0.435,0.238263
0.440,0.247428
0.445,0.256701
0.450,0.266193
0.455,0.276027
0.460,0.286341
0.465,0.297269
0.470,0.308931
0.475,0.321430
0.480,0.334838
0.485,0.349199
0.490,0.364520
0.495,0.380776
0.500,0.397909
0.505,0.415835
0.510,0.434443
0.515,0.453603
0.520,0.473172
0.525,0.492995
0.530,0.512914
0.535,0.532769
0.540,0.552406
0.545,0.571680
0.550,0.590456
0.555,0.608617
0.560,0.626573
0.565,0.646956
0.570,0.666719
0.575,0.685877
0.580,0.704495
0.585,0.722682
0.590,0.740575
0.595,0.758316
0.600,0.776030
0.605,0.793808
0.610,0.811683
0.615,0.829623
0.620,0.847523
0.625,0.865215
0.630,0.882479
0.635,0.899062
0.640,0.914707
0.645,0.929175
0.650,0.942269
0.655,0.953851
0.660,0.963855
0.665,0.972286
0.670,0.979212
0.675,0.984757
0.680,0.989080
0.685,0.992362
0.690,0.994785
0.695,0.996527
0.700,0.997745
0.705,0.998572
0.710,0.999119
0.715,0.999471
0.720,0.999690
0.725,0.999824
0.730,0.999902
0.735,0.999947
0.740,0.999972
0.745,0.999986
0.750,0.999993
