Vf,P2020
0.250,0.000218
0.255,0.000397
0.260,0.000699
0.265,0.001189
0.270,0.001956
0.275,0.003116
0.280,0.004807
0.285,0.007185
0.290,0.010409
0.295,0.014629
0.300,0.019959
0.305,0.026464
0.310,0.034133
0.315,0.042880
0.320,0.052543
0.325,0.062901
0.330,0.073703
0.335,0.084700
0.340,0.095676
0.345,0.106480
0.350,0.117034
0.355,0.127338
0.360,0.137456
0.365,0.147489
0.370,0.157557
0.375,0.167764
0.380,0.178189
0.385,0.188869
0.390,0.199803
0.395,0.210955
0.400,0.222269
0.405,0.233682
0.410,0.245131
0.415,0.256566
0.420,0.267954
0.425,0.279273
0.430,0.290517
0.435,0.301684
0.440,0.312776
0.445,0.323791
0.450,0.334726
0.455,0.345569
0.460,0.356305
0.465,0.366919
0.470,0.377392
0.475,0.387710
0.480,0.397861
0.485,0.407840
0.490,0.417644
0.495,0.427277
0.500,0.436747
0.505,0.446067
0.510,0.455257
0.515,0.464341
0.520,0.473350
0.525,0.482323
0.530,0.491304
0.535,0.500346
0.540,0.511216
0.545,0.523674
0.550,0.537309
0.555,0.552224
0.560,0.568475
0.565,0.586058
0.570,0.604905
0.575,0.624881
0.580,0.645792
0.585,0.667394
0.590,0.689412
0.595,0.711561
0.600,0.733569
0.605,0.755192
0.610,0.776238
0.615,0.796567
0.620,0.816095
0.625,0.834782
0.630,0.852619
0.635,0.869608
0.640,0.885745
0.645,0.901001
0.650,0.915322
0.655,0.928630
0.660,0.940828
0.665,0.951824
0.670,0.961543
0.675,0.969945
0.680,0.977034
0.685,0.982861
0.690,0.987522
0.695,0.991144
0.700,0.993879
0.705,0.995882
0.710,0.997305
0.715,0.998285
0.720,0.998940
0.725,0.999363
0.730,0.999629
0.735,0.999790
0.740,0.999884
0.745,0.999938
0.750,0.999968
