Vf,composite
0.250,0.000097
0.255,0.000181
0.260,0.000327
0.265,0.000574
0.270,0.000974
0.275,0.001603
0.280,0.002558
0.285,0.003957
0.290,0.005939
0.295,0.008652
0.300,0.012241
0.305,0.016833
0.310,0.022514
0.315,0.029315
0.320,0.037201
0.325,0.046064
0.330,0.055731
0.335,0.065986
0.340,0.076591
0.345,0.087316
0.350,0.097972
0.355,0.108425
0.360,0.118608
0.365,0.128521
0.370,0.138214
0.375,0.147769
0.380,0.157277
0.385,0.166816
0.390,0.176439
0.395,0.186166
0.400,0.195988
0.405,0.205872
0.410,0.215775
0.415,0.225657
0.420,0.235492
0.425,0.245275
0.430,0.255025
0.435,0.264783
0.440,0.274606
0.445,0.284562
0.450,0.294717
0.455,0.305132
0.460,0.315852
0.465,0.326906
0.470,0.338306
0.475,0.350047
0.480,0.362111
0.485,0.374472
0.490,0.387098
0.495,0.399960
0.500,0.413029
0.505,0.426283
0.510,0.439706
0.515,0.453288
0.520,0.467023
0.525,0.480908
0.530,0.494939
0.535,0.509114
0.540,0.523424
0.545,0.537986
0.550,0.556275
0.555,0.575278
0.560,0.594902
0.565,0.615036
0.570,0.635561
0.575,0.656355
0.580,0.677301
0.585,0.698299
0.590,0.719258
0.595,0.740105
0.600,0.760779
0.605,0.781220
0.610,0.801366
0.615,0.821141
0.620,0.840447
0.625,0.859163
0.630,0.877144
0.635,0.894224
0.640,0.910233
0.645,0.925005
0.650,0.938399
0.655,0.950311
0.660,0.960683
0.665,0.969514
0.670,0.976859
0.675,0.982818
0.680,0.987532
0.685,0.991164
0.690,0.993888
0.695,0.995876
0.700,0.997287
0.705,0.998260
0.710,0.998914
0.715,0.999339
0.720,0.999609
0.725,0.999775
0.730,0.999874
0.735,0.999931
0.740,0.999963
0.745,0.999981
0.750,0.999991
