METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018
Vf,0.544809,0.536396,0.508318,0.528398,0.624817,0.559296,0.520615
Sf,0.537302,0.502889,0.430776,0.490718,0.851333,0.623655,0.442154
EG,0.052316,0.069903,0.085860,0.066078,-0.101699,-0.005063,0.099076
PR,0.007507,0.033507,0.077542,0.037680,-0.226516,-0.064359,0.078461
GAMMA,0.093194,0.076233,0.086707,0.082662,-0.026399,0.089282,0.136878
BS_50,0.086971,0.063253,0.086223,0.077157,0.084216,0.102091,0.122830
BV_50,0.031785,0.034809,0.035230,0.031547,0.022177,0.026758,0.034837
BS_V,0.078515,0.066332,0.086114,0.075809,0.032125,0.063611,0.116904
GS,0.031565,0.027510,0.035066,0.030027,0.031980,0.031326,0.039708
MM,0.041897,0.041583,0.045983,0.038265,0.035373,0.033703,0.041024
LO,0.071108,0.071997,0.051712,0.062985,0.142322,0.068089,0.056421
DECL,11.075515,13.014782,15.800941,12.827732,18.250777,5.442224,15.677301
R,0.832472,0.079373,-8.322203,-0.326853,2.814786,2.085381,-2.806028
r,2.912282,2.173916,2.101836,2.583978,2.603286,3.591085,3.833718
Sb,0.537302,0.502889,0.430776,0.490718,0.851333,0.623655,0.442154
Ra,0.768651,0.751444,0.715388,0.745359,0.925667,0.811827,0.721077
Rb,0.268651,0.251444,0.215388,0.245359,0.425667,0.311827,0.221077
Va,0.566663,0.587013,0.599536,0.578783,0.500364,0.553406,0.571633
Vb,0.362229,0.340991,0.348752,0.358232,0.357314,0.378505,0.371945
L_Vf,0.520000,0.515000,0.485000,0.505000,0.600000,0.535000,0.500000
L_Sf,0.467023,0.464341,0.383186,0.434617,0.783094,0.532769,0.377170
U_Vf,0.565000,0.560000,0.530000,0.550000,0.645000,0.580000,0.545000
U_Sf,0.615036,0.568475,0.484701,0.560919,0.923614,0.704495,0.544589
