Vf,P2016
0.250,0.046216
0.255,0.058168
0.260,0.070474
0.265,0.082484
0.270,0.093639
0.275,0.103575
0.280,0.112181
0.285,0.119588
0.290,0.126114
0.295,0.132186
0.300,0.138241
0.305,0.144656
0.310,0.151694
0.315,0.159472
0.320,0.167970
0.325,0.177035
0.330,0.186423
0.335,0.195829
0.340,0.204936
0.345,0.213450
0.350,0.221136
0.355,0.227834
0.360,0.233474
0.365,0.238065
0.370,0.241687
0.375,0.244465
0.380,0.246554
0.385,0.248116
0.390,0.249310
0.395,0.250279
0.400,0.251148
0.405,0.251932
0.410,0.252806
0.415,0.253880
0.420,0.255196
0.425,0.256801
0.430,0.258740
0.435,0.261060
0.440,0.263803
0.445,0.267007
0.450,0.270705
0.455,0.274923
0.460,0.279682
0.465,0.284994
0.470,0.290867
0.475,0.297306
0.480,0.304316
0.485,0.311907
0.490,0.320095
0.495,0.328911
0.500,0.338400
0.505,0.348629
0.510,0.359684
0.515,0.371674
0.520,0.384729
0.525,0.398991
0.530,0.414615
0.535,0.431756
0.540,0.450557
0.545,0.471138
0.550,0.493582
0.555,0.517920
0.560,0.544118
0.565,0.572067
0.570,0.601576
0.575,0.632367
0.580,0.664085
0.585,0.696305
0.590,0.728549
0.595,0.760312
0.600,0.791087
0.605,0.820394
0.610,0.847805
0.615,0.872972
0.620,0.895642
0.625,0.915666
0.630,0.933000
0.635,0.947702
0.640,0.959913
0.645,0.969841
0.650,0.977740
0.655,0.983889
0.660,0.988570
0.665,0.992055
0.670,0.994590
0.675,0.996393
0.680,0.997646
0.685,0.998497
0.690,0.999061
0.695,0.999426
0.700,0.999657
0.705,0.999800
0.710,0.999885
0.715,0.999936
0.720,0.999965
0.725,0.999981
0.730,0.999990
0.735,0.999995
0.740,0.999998
0.745,0.999999
0.750,0.999999
