Vf,S2016
0.250,0.001794
0.255,0.002973
0.260,0.004748
0.265,0.007307
0.270,0.010846
0.275,0.015540
0.280,0.021513
0.285,0.028807
0.290,0.037360
0.295,0.047001
0.300,0.057460
0.305,0.068403
0.310,0.079479
0.315,0.090370
0.320,0.100841
0.325,0.110763
0.330,0.120126
0.335,0.129017
0.340,0.137588
0.345,0.146014
0.350,0.154449
0.355,0.162995
0.360,0.171679
0.365,0.180455
0.370,0.189210
0.375,0.197784
0.380,0.206002
0.385,0.213692
0.390,0.220713
0.395,0.226970
0.400,0.232419
0.405,0.237074
0.410,0.240994
0.415,0.244282
0.420,0.247065
0.425,0.249490
0.430,0.251709
0.435,0.253872
0.440,0.256121
0.445,0.258592
0.450,0.261403
0.455,0.264665
0.460,0.268471
0.465,0.272906
0.470,0.278038
0.475,0.283923
0.480,0.290604
0.485,0.298109
0.490,0.307297
0.495,0.317746
0.500,0.329457
0.505,0.342478
0.510,0.356850
0.515,0.372602
0.520,0.389749
0.525,0.408295
0.530,0.428227
0.535,0.449520
0.540,0.472129
0.545,0.495994
0.550,0.521034
0.555,0.547149
0.560,0.574218
0.565,0.602094
0.570,0.630606
0.575,0.659554
0.580,0.688713
0.585,0.717826
0.590,0.746616
0.595,0.774784
0.600,0.802023
0.605,0.828031
0.610,0.852519
0.615,0.875233
0.620,0.895967
0.625,0.914573
0.630,0.930971
0.635,0.945154
0.640,0.957181
0.645,0.967175
0.650,0.975307
0.655,0.981782
0.660,0.986825
0.665,0.990665
0.670,0.993523
0.675,0.995601
0.680,0.997076
0.685,0.998099
0.690,0.998792
0.695,0.999249
0.700,0.999544
0.705,0.999729
0.710,0.999843
0.715,0.999911
0.720,0.999951
0.725,0.999974
0.730,0.999986
0.735,0.999993
0.740,0.999996
0.745,0.999998
0.750,0.999999
