Vf,composite
0.250,0.021281
0.255,0.029421
0.260,0.039067
0.265,0.049925
0.270,0.061552
0.275,0.073418
0.280,0.085002
0.285,0.095879
0.290,0.105797
0.295,0.114703
0.300,0.122736
0.305,0.130170
0.310,0.137345
0.315,0.144595
0.320,0.152181
0.325,0.160253
0.330,0.168834
0.335,0.177827
0.340,0.187038
0.345,0.196215
0.350,0.205084
0.355,0.213390
0.360,0.220923
0.365,0.227545
0.370,0.233193
0.375,0.237880
0.380,0.241684
0.385,0.244730
0.390,0.247172
0.395,0.249180
0.400,0.250922
0.405,0.252554
0.410,0.254221
0.415,0.256046
0.420,0.258137
0.425,0.260582
0.430,0.263349
0.435,0.266416
0.440,0.269947
0.445,0.273966
0.450,0.278487
0.455,0.283518
0.460,0.289058
0.465,0.295104
0.470,0.301645
0.475,0.308672
0.480,0.316179
0.485,0.324166
0.490,0.332641
0.495,0.341627
0.500,0.351164
0.505,0.361308
0.510,0.372136
0.515,0.383745
0.520,0.396249
0.525,0.409780
0.530,0.424479
0.535,0.440494
0.540,0.457969
0.545,0.477035
0.550,0.497797
0.555,0.520322
0.560,0.544623
0.565,0.570652
0.570,0.598282
0.575,0.627309
0.580,0.657446
0.585,0.688328
0.590,0.719530
0.595,0.750577
0.600,0.780977
0.605,0.810242
0.610,0.837919
0.615,0.863617
0.620,0.887026
0.625,0.907935
0.630,0.926240
0.635,0.941937
0.640,0.955117
0.645,0.965948
0.650,0.974658
0.655,0.981507
0.660,0.986774
0.665,0.990733
0.670,0.993642
0.675,0.995729
0.680,0.997192
0.685,0.998194
0.690,0.998864
0.695,0.999301
0.700,0.999580
0.705,0.999753
0.710,0.999858
0.715,0.999920
0.720,0.999956
0.725,0.999977
0.730,0.999988
0.735,0.999994
0.740,0.999997
0.745,0.999998
0.750,0.999999
