METRIC,composite,P2020,P2016,S2018,S2016,G2020,AG2020
Vf,0.427916,0.421642,0.401814,0.470017,0.485392,0.416084,0.389379
Sf,0.262200,0.270255,0.251460,0.301185,0.298732,0.261898,0.250500
EG,0.093632,0.073029,0.052168,0.138849,0.172052,0.070270,0.028258
PR,0.165716,0.151387,0.150354,0.168832,0.186660,0.154186,0.138879
GAMMA,0.197911,0.168837,0.233134,0.156016,0.174423,0.191639,0.232007
BS_50,0.148836,0.133459,0.161600,0.148355,0.170543,0.138626,0.152505
BV_50,0.050489,0.051116,0.051319,0.052080,0.045800,0.049308,0.047724
BS_V,0.063712,0.045980,-0.015677,0.137484,0.164902,0.024302,-0.057237
GS,0.074482,0.073493,0.082760,0.065369,0.061924,0.074729,0.082571
MM,0.077891,0.082618,0.084098,0.070389,0.056946,0.080141,0.080975
LO,0.030524,0.020192,-0.002797,0.062778,0.085772,0.013283,-0.021959
DECL,32.070353,29.692808,29.300767,31.595157,35.280714,29.847388,26.930624
R,3.298922,2.931990,2.531320,6.630923,13.777917,2.837387,2.255446
r,0.553368,0.777297,0.156910,1.427433,1.837657,0.553682,0.158135
Sb,0.262200,0.270255,0.251460,0.301185,0.298732,0.261898,0.250500
Ra,0.631100,0.635128,0.625730,0.650593,0.649366,0.630949,0.625250
Rb,0.131100,0.135128,0.125730,0.150593,0.149366,0.130949,0.125250
Va,0.666890,0.676089,0.695733,0.628704,0.601069,0.677359,0.704771
Vb,0.302586,0.303719,0.307064,0.308519,0.313159,0.309358,0.317188
L_Vf,0.405000,0.400000,0.380000,0.450000,0.465000,0.395000,0.365000
L_Sf,0.252554,0.256491,0.246554,0.276745,0.272906,0.252364,0.243425
U_Vf,0.450000,0.445000,0.425000,0.495000,0.510000,0.440000,0.410000
U_Sf,0.278487,0.291613,0.256801,0.341933,0.356850,0.279018,0.253806
