Vf,AG2019
0.250,0.000161
0.255,0.000303
0.260,0.000551
0.265,0.000972
0.270,0.001661
0.275,0.002751
0.280,0.004416
0.285,0.006874
0.290,0.010380
0.295,0.015212
0.300,0.021647
0.305,0.029928
0.310,0.040223
0.315,0.052590
0.320,0.066945
0.325,0.083044
0.330,0.100490
0.335,0.118756
0.340,0.137235
0.345,0.155299
0.350,0.172359
0.355,0.187928
0.360,0.201656
0.365,0.213352
0.370,0.222981
0.375,0.230640
0.380,0.236528
0.385,0.240901
0.390,0.244042
0.395,0.246224
0.400,0.247692
0.405,0.248653
0.410,0.249269
0.415,0.249665
0.420,0.249931
0.425,0.250110
0.430,0.250309
0.435,0.250576
0.440,0.250948
0.445,0.251470
0.450,0.252203
0.455,0.253222
0.460,0.254622
0.465,0.256518
0.470,0.259051
0.475,0.262384
0.480,0.266704
0.485,0.272222
0.490,0.279167
0.495,0.287783
0.500,0.298318
0.505,0.311019
0.510,0.326114
0.515,0.343804
0.520,0.364243
0.525,0.387524
0.530,0.413665
0.535,0.442593
0.540,0.474138
0.545,0.508022
0.550,0.543866
0.555,0.581196
0.560,0.619455
0.565,0.658033
0.570,0.696288
0.575,0.733581
0.580,0.769311
0.585,0.802941
0.590,0.834029
0.595,0.862246
0.600,0.887384
0.605,0.909361
0.610,0.928210
0.615,0.944066
0.620,0.957148
0.625,0.967728
0.630,0.976118
0.635,0.982639
0.640,0.987605
0.645,0.991311
0.650,0.994021
0.655,0.995962
0.660,0.997325
0.665,0.998261
0.670,0.998891
0.675,0.999307
0.680,0.999575
0.685,0.999744
0.690,0.999849
0.695,0.999913
0.700,0.999951
0.705,0.999973
0.710,0.999985
0.715,0.999992
0.720,0.999996
0.725,0.999998
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
