Vf,S2018
0.250,0.000260
0.255,0.000481
0.260,0.000862
0.265,0.001494
0.270,0.002508
0.275,0.004078
0.280,0.006423
0.285,0.009804
0.290,0.014511
0.295,0.020833
0.300,0.029032
0.305,0.039293
0.310,0.051690
0.315,0.066144
0.320,0.082413
0.325,0.100087
0.330,0.118619
0.335,0.137375
0.340,0.155698
0.345,0.172975
0.350,0.188700
0.355,0.202514
0.360,0.214227
0.365,0.223813
0.370,0.231387
0.375,0.237162
0.380,0.241413
0.385,0.244434
0.390,0.246508
0.395,0.247883
0.400,0.248767
0.405,0.249219
0.410,0.249427
0.415,0.249614
0.420,0.249796
0.425,0.249991
0.430,0.250222
0.435,0.250521
0.440,0.250925
0.445,0.251486
0.450,0.252271
0.455,0.253366
0.460,0.254876
0.465,0.256936
0.470,0.259706
0.475,0.263374
0.480,0.268161
0.485,0.274311
0.490,0.282093
0.495,0.291787
0.500,0.303678
0.505,0.318037
0.510,0.335108
0.515,0.355087
0.520,0.378101
0.525,0.404191
0.530,0.433295
0.535,0.465236
0.540,0.499718
0.545,0.536326
0.550,0.574542
0.555,0.613758
0.560,0.653312
0.565,0.692511
0.570,0.730678
0.575,0.767177
0.580,0.801456
0.585,0.833063
0.590,0.861674
0.595,0.887092
0.600,0.909252
0.605,0.928209
0.610,0.944118
0.615,0.957214
0.620,0.967787
0.625,0.976159
0.630,0.982659
0.635,0.987607
0.640,0.991300
0.645,0.994001
0.650,0.995939
0.655,0.997300
0.660,0.998239
0.665,0.998872
0.670,0.999291
0.675,0.999563
0.680,0.999736
0.685,0.999843
0.690,0.999909
0.695,0.999948
0.700,0.999971
0.705,0.999984
0.710,0.999991
0.715,0.999995
0.720,0.999998
0.725,0.999999
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
