METRIC,composite,P2020,P2016,S2020,S2018,G2019,AG2019
Vf,0.431865,0.416150,0.409102,0.449224,0.402936,0.474233,0.421713
Sf,0.250587,0.250145,0.249926,0.251988,0.249123,0.267426,0.250004
EG,0.113143,0.082155,0.068278,0.146460,0.056749,0.181040,0.093422
PR,0.181278,0.166005,0.159176,0.197236,0.153813,0.206807,0.171709
GAMMA,0.245442,0.246904,0.247834,0.241739,0.242109,0.212372,0.247188
BS_50,0.196596,0.185131,0.201694,0.198471,0.196322,0.189964,0.201682
BV_50,0.042696,0.039296,0.044684,0.041265,0.040039,0.043853,0.043816
BS_V,0.032592,-0.030692,-0.036978,0.089232,-0.072636,0.165170,-0.003531
GS,0.068636,0.069692,0.075449,0.065708,0.071132,0.056312,0.069749
MM,0.061238,0.058140,0.065692,0.058708,0.065269,0.055659,0.066649
LO,-0.003792,-0.027222,0.000000,0.030243,0.000000,0.046800,-0.031810
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,3.660566,2.979780,2.751149,4.884430,2.584656,9.026031,3.193322
r,0.058279,0.035186,0.024639,0.123540,0.090335,0.784032,0.035868
Sb,0.250587,0.250145,0.249926,0.251988,0.249123,0.267426,0.250004
Ra,0.625294,0.625073,0.624963,0.625994,0.624561,0.633713,0.625002
Rb,0.125294,0.125073,0.124963,0.125994,0.124561,0.133713,0.125002
Va,0.645864,0.658895,0.674973,0.623260,0.672521,0.602262,0.657871
Vb,0.357928,0.368326,0.368884,0.346498,0.392650,0.350939,0.373939
L_Vf,0.410000,0.395000,0.385000,0.425000,0.380000,0.450000,0.400000
L_Sf,0.249387,0.248477,0.247659,0.250042,0.241413,0.254810,0.247692
U_Vf,0.455000,0.440000,0.430000,0.470000,0.425000,0.495000,0.445000
U_Sf,0.253859,0.251899,0.250380,0.259114,0.249991,0.298462,0.251470
